rank,ticker,name,name_short,dividend_yield_12m,return_1m,return_3m,return_6m,return_12m,avg10_volume,avg10_amount,avg10_amount_eok,liquidity_days
1,0094M0,RISE 코리아밸류업위클리고정커버드콜,RISE 코리아밸류,24.98%,-2.14%,-23.57%,+5.52%,+60.02%,953504,16540226607,165.4,10
2,0040Y0,SOL 팔란티어커버드콜OTM채권혼합,SOL 팔란티어커버,24.75%,-1.59%,-3.59%,-13.30%,-21.84%,272112,2158899753,21.6,10
3,472150,TIGER 배당커버드콜액티브,TIGER 배당커버,24.51%,-0.73%,-27.81%,+14.81%,+70.59%,3535166,72042315628,720.4,10
4,480040,ACE 미국반도체데일리타겟커버드콜(합성),ACE 미국반도체데,22.88%,-1.80%,-32.15%,+3.70%,+34.59%,191604,2656442974,26.6,10
5,480020,ACE 미국빅테크7+데일리타겟커버드콜(합성),ACE 미국빅테크7,22.73%,-0.39%,-15.64%,-13.68%,-14.37%,282308,2807935334,28.1,10
7,491620,RISE 미국테크100데일리고정커버드콜,RISE 미국테크1,20.31%,-0.42%,-12.56%,+0.81%,-1.99%,490601,5046509671,50.5,10
8,490590,RISE 미국AI밸류체인데일리고정커버드콜,RISE 미국AI밸,20.29%,+1.61%,-15.97%,+11.24%,+11.41%,473937,6642449691,66.4,10
9,494300,KODEX 미국나스닥100데일리커버드콜OTM,KODEX 미국나스,20.19%,-0.38%,-16.66%,-7.92%,-7.73%,967134,8580640372,85.8,10
10,475720,RISE 200위클리커버드콜,RISE 200위클,20.05%,-0.50%,-20.45%,+0.90%,+30.70%,565313,7135938053,71.4,10
11,489030,PLUS 고배당주위클리커버드콜,PLUS 고배당주위,18.99%,-0.94%,+2.86%,-30.62%,-36.52%,563075,3588197676,35.9,10
12,0132K0,PLUS 테슬라위클리커버드콜채권혼합,PLUS 테슬라위클,18.92%,-0.38%,-9.98%,-14.16%,—,139120,1093601405,10.9,10
13,480030,ACE 미국500데일리타겟커버드콜(합성),ACE 미국500데,18.37%,-2.01%,-13.70%,-6.96%,-5.88%,120975,1155388156,11.6,10
14,490600,RISE 미국배당100데일리고정커버드콜,RISE 미국배당1,17.27%,-4.70%,-7.89%,-6.02%,-0.45%,183597,1603593767,16.0,10
15,498400,KODEX 200타겟위클리커버드콜,KODEX 200타,17.24%,-0.22%,-27.16%,+14.94%,+77.86%,6256259,127047145311,1270.5,10
16,498410,KODEX 금융고배당TOP10타겟위클리커버드콜,KODEX 금융고배,15.53%,+3.26%,+1.67%,-11.35%,-7.26%,1367874,16327877805,163.3,10
17,493810,TIGER 미국AI빅테크10타겟데일리커버드콜,TIGER 미국AI,15.32%,+2.13%,-7.82%,+2.63%,+1.01%,136391,1521920393,15.2,10
18,486290,TIGER 미국나스닥100타겟데일리커버드콜,TIGER 미국나스,15.12%,+0.14%,-13.93%,+3.21%,+3.01%,1910184,19667740152,196.7,10
19,0005A0,KODEX 미국S&P500데일리커버드콜OTM,KODEX 미국S&,15.06%,-1.20%,-10.48%,-2.53%,-0.63%,177203,1641686607,16.4,10
23,483280,KODEX 미국AI테크TOP10타겟커버드콜,KODEX 미국AI,14.73%,+3.98%,-7.65%,+0.46%,-1.60%,192524,2241686260,22.4,10
25,483290,KODEX 미국배당다우존스타겟커버드콜,KODEX 미국배당,12.28%,-3.73%,-5.91%,-5.43%,+12.29%,151462,1522200241,15.2,10
26,476550,TIGER 미국30년국채커버드콜액티브(H),TIGER 미국30,12.24%,-1.02%,-7.33%,-9.75%,-15.50%,843426,5666624094,56.7,10
30,481060,KODEX 미국30년국채타겟커버드콜(합성 H),KODEX 미국30,12.11%,-1.28%,-6.15%,-9.01%,-14.44%,398850,2909977475,29.1,10
31,0008S0,TIGER 미국배당다우존스타겟데일리커버드콜,TIGER 미국배당,12.01%,-4.38%,-6.41%,-3.77%,+10.66%,289557,2785904981,27.9,10
35,473330,SOL 미국30년국채커버드콜(합성),SOL 미국30년국,11.18%,-1.24%,-15.62%,-15.67%,-12.89%,225404,1751653316,17.5,10
36,482730,TIGER 미국S&P500타겟데일리커버드콜,TIGER 미국S&,11.03%,-1.56%,-9.79%,+0.77%,+3.26%,340006,3906211114,39.1,10
40,458760,TIGER 미국배당다우존스타겟커버드콜2호,TIGER 미국배당,10.21%,-4.00%,-5.26%,-4.12%,+13.91%,244637,2624003663,26.2,10
43,329200,TIGER 리츠부동산인프라,TIGER 리츠부동,9.26%,-0.61%,-0.37%,-11.78%,-6.96%,2038772,8275761035,82.8,10
44,441640,KODEX 미국배당커버드콜액티브,KODEX 미국배당,9.23%,-2.04%,-7.25%,-1.62%,+3.83%,742170,9136263529,91.4,10
46,476800,KODEX 한국부동산리츠인프라,KODEX 한국부동,8.45%,-0.36%,-2.89%,-13.76%,-11.86%,482117,2020769486,20.2,10
47,441800,TIME Korea플러스배당액티브,TIME Korea,8.06%,+0.74%,-21.48%,+3.19%,+71.23%,127885,3694940963,36.9,10
