date,ticker,industry,rank,close,sco,trend,위치,mtype,raw_mult,base_w,alloc_pct,k_mult,us_mult,kospi_trend,nasdaq_trend
2022-01-03,VNM,VNM,1,19.954519271850582,16.0,LIME,1,NASDAQ,1.0,0.33,0.33,0.4,1.0,-,LIME
2022-01-03,XLP,XLP,2,68.92493438720703,16.0,LIME,1,NASDAQ,1.0,0.27,0.27,0.4,1.0,-,LIME
2022-01-03,091160,반도체,3,38778.0,15.0,LIME,1,KOSPI,0.6,0.2,0.12,0.4,1.0,-,LIME
2022-01-03,VYM,VYM,4,99.53386688232422,16.0,LIME,1,NASDAQ,1.0,0.1,0.1,0.4,1.0,-,LIME
2022-01-03,VTV,VTV,5,133.3211212158203,16.0,LIME,1,NASDAQ,1.0,0.1,0.1,0.4,1.0,-,LIME
2022-01-04,XLP,XLP,1,69.3897933959961,16.0,LIME,1,NASDAQ,1.0,0.33,0.33,0.4,1.0,-,LIME
2022-01-04,VNM,VNM,2,20.19844055175781,16.0,LIME,1,NASDAQ,1.0,0.27,0.27,0.4,1.0,-,LIME
2022-01-04,VYM,VYM,3,100.75328063964844,16.0,LIME,1,NASDAQ,1.0,0.2,0.2,0.4,1.0,-,LIME
2022-01-04,VTV,VTV,4,134.84642028808594,16.0,LIME,1,NASDAQ,1.0,0.1,0.1,0.4,1.0,-,LIME
2022-01-04,091160,반도체,5,38481.0,15.0,LIME,1,KOSPI,0.6,0.1,0.06,0.4,1.0,-,LIME
2022-01-05,XLP,XLP,1,69.32722473144531,16.0,LIME,1,NASDAQ,0.24,0.31,0.0744,0.0,0.1,RED,PURPLE
2022-01-05,VNM,VNM,2,20.160913467407227,16.0,LIME,1,NASDAQ,0.24,0.25,0.06,0.0,0.1,RED,PURPLE
2022-01-05,VYM,VYM,3,100.37332153320312,16.0,LIME,1,NASDAQ,0.24,0.16,0.0384,0.0,0.1,RED,PURPLE
2022-01-05,VTV,VTV,4,134.00704956054688,16.0,LIME,1,NASDAQ,0.24,0.1,0.024,0.0,0.1,RED,PURPLE
2022-01-05,SCHD,SCHD,5,23.20878791809082,15.75,LIME,1,NASDAQ,0.24,0.1,0.024,0.0,0.1,RED,PURPLE
2022-01-05,091160,반도체,6,37396.0,13.25,-,3,KOSPI,0.2,0.08,0.016,0.0,0.1,RED,PURPLE
2022-01-06,VNM,VNM,1,20.067094802856445,16.0,LIME,1,NASDAQ,0.24,0.33,0.0792,0.0,0.1,RED,PURPLE
2022-01-06,VYM,VYM,2,100.75328063964844,16.0,LIME,1,NASDAQ,0.24,0.27,0.0648,0.0,0.1,RED,PURPLE
2022-01-06,VTV,VTV,3,134.24171447753906,16.0,LIME,1,NASDAQ,0.24,0.2,0.048,0.0,0.1,RED,PURPLE
2022-01-06,SCHD,SCHD,4,23.277326583862305,15.75,LIME,1,NASDAQ,0.24,0.1,0.024,0.0,0.1,RED,PURPLE
2022-01-06,XLP,XLP,5,69.13948822021484,15.0,LIME,2,NASDAQ,0.22,0.1,0.022,0.0,0.1,RED,PURPLE
2022-01-07,VYM,VYM,1,101.22162628173828,16.0,LIME,1,NASDAQ,0.24,0.31,0.0744,0.0,0.1,RED,PURPLE
2022-01-07,VTV,VTV,2,134.85543823242188,16.0,LIME,1,NASDAQ,0.24,0.25,0.06,0.0,0.1,RED,PURPLE
2022-01-07,SCHD,SCHD,3,23.31730461120605,15.75,LIME,1,NASDAQ,0.24,0.16,0.0384,0.0,0.1,RED,PURPLE
2022-01-07,EWU,EWU,4,29.13338088989257,16.0,LIME,1,NASDAQ,0.24,0.1,0.024,0.0,0.1,RED,PURPLE
2022-01-07,XLI,XLI,5,99.68096923828124,15.75,LIME,1,NASDAQ,0.24,0.1,0.024,0.0,0.1,RED,PURPLE
2022-01-07,XLP,XLP,6,69.21102142333984,14.75,LIME,1,NASDAQ,0.22,0.08,0.0176,0.0,0.1,RED,PURPLE
2022-01-10,VYM,VYM,1,101.12442779541016,16.0,LIME,1,NASDAQ,0.24,0.31,0.0744,0.0,0.1,RED,PURPLE
2022-01-10,VTV,VTV,2,134.73809814453125,16.0,LIME,1,NASDAQ,0.24,0.25,0.06,0.0,0.1,RED,PURPLE
2022-01-10,SCHD,SCHD,3,23.31730461120605,15.5,LIME,1,NASDAQ,0.24,0.16,0.0384,0.0,0.1,RED,PURPLE
2022-01-10,EWU,EWU,4,29.04764938354492,16.0,LIME,1,NASDAQ,0.24,0.1,0.024,0.0,0.1,RED,PURPLE
2022-01-10,XLE,XLE,5,26.320859909057617,14.0,LIME,1,FIXED,1.0,0.1,0.1,0.0,0.1,RED,PURPLE
2022-01-10,XLI,XLI,6,98.55770874023438,14.0,LIME,3,NASDAQ,0.2,0.08,0.016,0.0,0.1,RED,PURPLE
2022-01-11,VYM,VYM,1,101.61927795410156,16.0,LIME,1,NASDAQ,0.24,0.31,0.0744,0.0,0.1,RED,PURPLE
2022-01-11,VTV,VTV,2,135.65866088867188,16.0,LIME,1,NASDAQ,0.24,0.25,0.06,0.0,0.1,RED,PURPLE
2022-01-11,SCHD,SCHD,3,23.400121688842773,15.5,LIME,1,NASDAQ,0.24,0.16,0.0384,0.0,0.1,RED,PURPLE
2022-01-11,EWU,EWU,4,29.330575942993164,16.0,LIME,1,NASDAQ,0.24,0.1,0.024,0.0,0.1,RED,PURPLE
2022-01-11,XLE,XLE,5,27.216157913208008,14.5,LIME,1,FIXED,1.0,0.1,0.1,0.0,0.1,RED,PURPLE
2022-01-11,XLI,XLI,6,99.14739990234376,12.25,LIME,2,NASDAQ,0.2,0.08,0.016,0.0,0.1,RED,PURPLE
2022-01-12,VYM,VYM,1,101.62810516357422,16.0,LIME,1,NASDAQ,0.24,0.31,0.0744,0.0,0.1,RED,PURPLE
2022-01-12,VTV,VTV,2,135.6767120361328,16.0,LIME,1,NASDAQ,0.24,0.25,0.06,0.0,0.1,RED,PURPLE
2022-01-12,SCHD,SCHD,3,23.38869857788086,15.5,LIME,1,NASDAQ,0.24,0.16,0.0384,0.0,0.1,RED,PURPLE
2022-01-12,EWU,EWU,4,29.60493469238281,16.0,LIME,1,NASDAQ,0.24,0.1,0.024,0.0,0.1,RED,PURPLE
2022-01-12,XLE,XLE,5,27.26780891418457,15.0,LIME,1,FIXED,1.0,0.1,0.1,0.0,0.1,RED,PURPLE
2022-01-12,XLI,XLI,6,99.46568298339844,12.0,LIME,1,NASDAQ,0.2,0.08,0.016,0.0,0.1,RED,PURPLE
2022-01-13,VYM,VYM,1,101.4867172241211,16.0,LIME,1,NASDAQ,0.24,0.31,0.0744,0.0,0.1,RED,PURPLE
2022-01-13,VTV,VTV,2,135.39697265625,16.0,LIME,1,NASDAQ,0.24,0.25,0.06,0.0,0.1,RED,PURPLE
2022-01-13,SCHD,SCHD,3,23.35728073120117,15.75,LIME,1,NASDAQ,0.24,0.16,0.0384,0.0,0.1,RED,PURPLE
2022-01-13,XLE,XLE,4,27.13007354736328,15.5,LIME,1,FIXED,1.0,0.1,0.1,0.0,0.1,RED,PURPLE
