2022.01,2022.02,2022.03,2022.04,2022.05,2022.06
"은행주
케모멘
유로스",은행주,"티모멘
철강주
은행주","철강주
티모멘
케모멘","신재생
에너지
은행주","신재생
에너지
금현물"
2022.07,2022.08,2022.09,2022.10,2022.11,2022.12
"자동차
바이오","신재생
조선주
이차전","자동차
금현물
신재생","금현물
이차전","유로스
이차전
건설주","화장품
은행주
유로스"
2023.01,2023.02,2023.03,2023.04,2023.05,2023.06
"화장품
증권주
유로스","유로스
코스닥
에너지","이차전
코스닥
금현물","이차전
코스닥
에너지","니케이
금현물
자동차","조선주
반도체
나스닥"
2023.07,2023.08,2023.09,2023.10,2023.11,2023.12
"티모멘
자동차
조선주","화장품
바이오
항셈테","은행주
케모멘
증권주","금현물
은행주","나스닥
증권주
톱반도","톱반도
유로스
증권주"
2024.01,2024.02,2024.03,2024.04,2024.05,2024.06
"톱반도
인디아
니케이","톱반도
자동차
방산주","원자력
은행주
조선주","원자력
금현물
방산주","원자력
화장품
항셈테","톱반도
티모멘
인디아"
2024.07,2024.08,2024.09,2024.10,2024.11,2024.12
"조선주
인디아
방산주","은행주
증권주
방산주","인디아
에센피
금현물","금현물
방산주
철강주","K팝
조선주
방산주","나스닥
에센피
항셈테"
2025.01,2025.02,2025.03,2025.04,2025.05,2025.06
"조선주
전력인
금현물","K팝
방산주
항셈테","방산주
철강주
항셈테","금현물
화장품
방산주","조선주
화장품
증권주","증권주
조선주
원자력"
2025.07,2025.08,2025.09,2025.10,2025.11,2025.12
"철강주
신재생
은행주","조선주
니케이
전력인","양자컴
반도체
금현물","반도체
톱반도
금현물","바이오
인디아
은행주","금현물
바이오
자동차"
2026.01,2026.02,2026.03,2026.04,,,2026.05,2026.06
"밸류업
코스피
반도체","건설주
반도체
증권주","반도체
건설주
반소부","반도체(091160)
건설주(117700)
신재생(377990)",,,"반도체(091160)
밸류업(495050)
신재생(377990)","톱반도(446770)
코스피(069500)
반도체(091160)"
2026.07,2026.08
"에센피(449180)
은행주(091170)
유로스(195930)","화장품(228790)
에센피(449180)
나스닥(449190)"
