2022.01,2022.02,2022.03,2022.04,2022.05,2022.06
"VYM
PDBC
XLE","PDBC
DBA
GLD","XLE
EWZ
EIDO","UNG
KSA
XLU","UNG
XLE
PDBC","PDBC
XLE
GMOM"
2022.07,2022.08,2022.09,2022.10,2022.11,2022.12
"UNG
ICLN
XLV","ICLN
TAN
LIT","TUR
EIDO
XLU","TUR
XLE
QMOM","TUR
EWW
XLE","SLV
TUR
GREK"
2023.01,2023.02,2023.03,2023.04,2023.05,2023.06
"GREK
EWI
EWP","GREK
EWI
BOTZ","XLK
TUR
BOTZ","EWP
EWQ
DBA","QQQ
EWW
BOTZ","EWZ
XLY
CARZ"
2023.07,2023.08,2023.09,2023.10,2023.11,2023.12
"GREK
ARKW
ARKF","TUR
VNM
XLE","PDBC
XLE
TUR","GLD
TUR
UNG","XLK
EWZ
XLC","ARKW
ARKF
INDA"
2024.01,2024.02,2024.03,2024.04,2024.05,2024.06
"XLF
QMOM
VUG","QMOM
INDA
EIS","DBA
EWI
XLF","DBA
GLD
SLV","XLU
TUR
FXI","SMH
XLC
EWT"
2024.07,2024.08,2024.09,2024.10,2024.11,2024.12
"VUG
IBB
VNQ","XLRE
VNQ
EWM","THD
XLRE
EPHE","GLD
ITA
JETS","ARKF
IBIT
JETS","XLY
DBA
ARKK"
2025.01,2025.02,2025.03,2025.04,2025.05,2025.06
"UNG
EIS
JETS","GLD
EWS
ARKF","GREK
GLD
EWP","GLD
EWP
EWW","EWI
GREK
EWP","EWY
ARKW
XAR"
2025.07,2025.08,2025.09,2025.10,2025.11,2025.12
"GREK
ARKF
ARKW","VNM
REMX
GREK","LIT
SLV
THD","SLV
EWY
GLD","IBB
XBI
EWZ","SLV
PICK
EZA"
2026.01,2026.02,2026.03,2026.04,,
"EWY
SLV
REMX","THD
EWY
XLE","XLE
DBA
PDBC","EWZ
THD
PTF",,
