2022.01,2022.02,2022.03,2022.04,2022.05,2022.06
"XLE
PDBC
VYM
VTV
KSA","PDBC
DBA
GLD
XLE
EZA","XLE
EWC
EWW
GLD
EWZ","UNG
KSA
TUR
XLP
철강주","UNG
XLE
PDBC
EIDO
EWP","PDBC
XLE
신재생
GMOM
에너지"
2022.07,2022.08,2022.09,2022.10,2022.11,2022.12
"UNG
자동차
ICLN
XLV
TAN","신재생
XLU
ICLN
TAN
TUR","EIDO
TUR
자동차
금현물
XLU","TUR
XLE
QMOM
금현물
EWW","TUR
EWW
유로스
이차전
XLE","SLV
TUR
GREK
PICK
유로스"
2023.01,2023.02,2023.03,2023.04,2023.05,2023.06
"GREK
EWI
EWG
화장품
EWP","GREK
EWI
유로스
철강주
BOTZ","이차전
코스닥
금현물
에너지
건설주","이차전
건설주
코스닥
조선주
에너지","QQQ
EWW
니케이
EWL
XLK","조선주
EWZ
XLY
반도체
QQQ"
2023.07,2023.08,2023.09,2023.10,2023.11,2023.12
"GREK
ARKW
ARKF
조선주
ARKK","TUR
VNM
화장품
XLE
항셈테","PDBC
은행주
XLE
TUR
INDA","금현물
GLD
TUR
UNG
XLC","XLK
EWZ
XLC
XAR
VUG","ARKW
ARKF
INDA
XLK
XAR"
2024.01,2024.02,2024.03,2024.04,2024.05,2024.06
"톱반도
XLF
인디아
QMOM
VUG","자동차
톱반도
QMOM
방산주
은행주","DBA
원자력
은행주
조선주
반소부","원자력
DBA
GLD
SLV
금현물","화장품
XLU
원자력
FXI
EWU","톱반도
SMH
티모멘
인디아
XLC"
2024.07,2024.08,2024.09,2024.10,2024.11,2024.12
"조선주
IBB
VUG
IJR
INDA","XLRE
VNQ
EWM
IEF
EWL","THD
XLRE
VNQ
SRVR
EWM","ITA
금현물
GLD
XLI
방산주","ARKF
IBIT
XLC
ARKW
JETS","XLY
ARKW
DBA
ARKK
ARKF"
2025.01,2025.02,2025.03,2025.04,2025.05,2025.06
"조선주
전력인
금현물
UNG
EIS","항셈테
K팝
방산주
금현물
ai로봇","GREK
방산주
GLD
EWI
EWP","GLD
금현물
방산주
화장품
EWP","EWI
화장품
증권주
조선주
GREK","증권주
원자력
조선주
방산주
건설주"
2025.07,2025.08,2025.09,2025.10,2025.11,2025.12
"철강주
ARKF
은행주
GREK
ARKW","VNM
REMX
EWP
GREK
조선주","LIT
반도체
0023A0
SLV
반소부","반도체
SLV
조선주
XBI
LIT","IBB
XBI
XLV
EWZ
바이오","SLV
EZA
PICK
자동차
EWL"
2026.01,2026.02,2026.03,2026.04,,,2026.05,2026.06
"밸류업
코스피
SLV
EWY
자동차","건설주
반도체
증권주
EWY
밸류업","XLE
PDBC
DBA
건설주
신재생","EWZ
건설주(117700)
THD
PTF
반도체(091160)",,,"반도체(091160)
신재생(377990)
티모멘(147970)
반소부(455850)
전력인(487230)","IJR
톱반도(446770)
반도체(091160)
밸류업(495050)
JETS"
2026.07,2026.08
"KBE
EWS
XBI
SCHD
IBB","EWS
화장품(228790)
EWP
XLF
IGV"
