2026.8월1주,2026.8월2주
"유로스(195930)
화장품(228790)
에센피(449180)","화장품(228790)
에센피(449180)"
2026.7월1주,2026.7월2주,2026.7월3주,2026.7월4주
"유로스(195930)
화장품(228790)
에센피(449180)","에센피(449180)
은행주(091170)",은행주(091170),은행주(091170)
2026.6월1주,2026.6월2주,2026.6월3주,2026.6월4주,2026.6월5주
"코스피(069500)
양자컴(0023A0)
밸류업(495050)","톱반도(446770)
니케이(241180)
미로봇(0038A0)","반도체(091160)
톱반도(446770)
코스피(069500)","톱반도(446770)
반도체(091160)
코스피(069500)",전력인(487230)
2026.5월1주,2026.5월2주,2026.5월3주,2026.5월4주,2026.5월5주
"신재생(377990)
반도체(091160)
티모멘(147970)","반도체(091160)
밸류업(495050)
코스피(069500)","중로봇(0048K0)
밸류업(495050)
반도체(091160)","반도체(091160)
톱반도(446770)
밸류업(495050)","톱반도(446770)
반도체(091160)
밸류업(495050)"
2026.4월2주,2026.4월3주,,,,2026.4월4주,2026.4월5주
"이차전(305720)
건설주(117700)
방산주(449450)","반도체(091160)
신재생(377990)
밸류업(495050)",,,,"건설주(117700)
신재생(377990)
반도체(091160)","신재생(377990)
반도체(091160)
건설주(117700)"
2026.3월2주,2026.3월3주,2026.3월4주,2026.3월5주,
"반소부(455850)
반도체(091160)
건설주(117700)","방산주(449450)
반소부(455850)
반도체(091160)","건설주(117700)
신재생(377990)
반도체(091160)","건설주(117700)
신재생(377990)
반도체(091160)",
2026.2월2주,2026.2월3주,2026.2월4주,2026.2월5주,
"반도체(091160)
증권주(102970)
밸류업(495050)","건설주(117700)
케모멘(325020)
증권주(102970)","증권주(102970)
건설주(117700)
밸류업(495050)","반도체(091160)
건설주(117700)
밸류업(495050)",
2026.1월1주,2026.1월2주,2026.1월3주,2026.1월4주,2026.1월5주
"밸류업(495050)
코스피(069500)
반도체(091160)","코스피(069500)
밸류업(495050)
반도체(091160)","밸류업(495050)
자동차(091180)
코스피(069500)","ai로봇(469070)
자동차(091180)
밸류업(495050)","금현물(411060)
반도체(091160)
코스피(069500)"
2025.12월1주,2025.12월2주,2025.12월3주,2025.12월4주,2025.12월5주
"바이오(244580)
자동차(091180)
금현물(411060)","ai로봇(469070)
자동차(091180)
바이오(244580)","금현물(411060)
ai로봇(469070)
바이오(244580)","금현물(411060)
ai로봇(469070)
우주방(478150)","밸류업(495050)
반도체(091160)
금현물(411060)"
2025.11월2주,2025.11월3주,2025.11월4주,2025.11월5주,
"반도체(091160)
바이오(244580)
신재생(377990)","은행주(091170)
밸류업(495050)
케모멘(325020)","바이오(244580)
인디아(453810)
코스닥(229200)",인디아(453810),
2025.10월1주,2025.10월2주,2025.10월3주,2025.10월4주,2025.10월5주
"금현물(411060)
항셈테(371160)
우주방(478150)","톱반도(446770)
우주방(478150)
금현물(411060)","반도체(091160)
양자컴(0023A0)
금현물(411060)","반도체(091160)
조선주(139230)
톱반도(446770)","반도체(091160)
반소부(455850)
톱반도(446770)"
2025.9월1주,2025.9월2주,2025.9월3주,2025.9월4주,2025.9월5주
"조선주(139230)
금현물(411060)
자동차(091180)","조선주(139230)
반도체(091160)
바이오(244580)","반도체(091160)
양자컴(0023A0)
반소부(455850)","양자컴(0023A0)
반도체(091160)
반소부(455850)","금현물(411060)
항셈테(371160)
양자컴(0023A0)"
2025.8월1주,2025.8월2주,2025.8월3주,2025.8월4주,2025.8월5주
"조선주(139230)
전력인(487230)
방산주(449450)","조선주(139230)
전력인(487230)
방산주(449450)","니케이(241180)
이차전(305720)
나스닥(449190)","니케이(241180)
K팝(475050)
이차전(305720)","유로스(195930)
항셈테(371160)
금현물(411060)"
2025.7월1주,2025.7월2주,2025.7월3주,2025.7월4주,2025.7월5주
"케모멘(325020)
티모멘(147970)
철강주(117680)","철강주(117680)
은행주(091170)
케모멘(325020)","철강주(117680)
톱반도(446770)
은행주(091170)","철강주(117680)
신재생(377990)
전력인(487230)","전력인(487230)
방산주(449450)
신재생(377990)"
2025.6월2주,2025.6월3주,2025.6월4주,2025.6월5주,2025.6월6주
"증권주(102970)
화장품(228790)
조선주(139230)","증권주(102970)
조선주(139230)
원자력(434730)","증권주(102970)
원자력(434730)
조선주(139230)","원자력(434730)
증권주(102970)
조선주(139230)","원자력(434730)
밸류업(495050)
신재생(377990)"
2025.5월1주,2025.5월2주,2025.5월3주,2025.5월4주,2025.5월5주
"화장품(228790)
건설주(117700)
조선주(139230)","조선주(139230)
화장품(228790)
건설주(117700)","증권주(102970)
화장품(228790)
티모멘(147970)","조선주(139230)
원자력(434730)
신재생(377990)","증권주(102970)
화장품(228790)
조선주(139230)"
2025.4월1주,2025.4월3주,2025.4월4주,2025.4월5주,
금현물(411060),"금현물(411060)
화장품(228790)
방산주(449450)","방산주(449450)
금현물(411060)
화장품(228790)","건설주(117700)
화장품(228790)
조선주(139230)",
2025.3월2주,2025.3월3주,2025.3월4주,2025.3월5주,2025.3월6주
"K팝(475050)
철강주(117680)
방산주(449450)","방산주(449450)
철강주(117680)
항셈테(371160)","티모멘(147970)
방산주(449450)
화장품(228790)","자동차(091180)
코스피(069500)
케모멘(325020)",금현물(411060)
2025.2월2주,2025.2월3주,2025.2월4주,2025.2월5주,
"K팝(475050)
ai로봇(469070)
금현물(411060)","금현물(411060)
K팝(475050)
방산주(449450)","방산주(449450)
항셈테(371160)
조선주(139230)","항셈테(371160)
K팝(475050)
방산주(449450)",
2025.1월1주,2025.1월2주,2025.1월3주,2025.1월4주,2025.1월5주
"금현물(411060)
조선주(139230)
우주방(478150)","조선주(139230)
금현물(411060)
ai로봇(469070)","조선주(139230)
전력인(487230)
금현물(411060)","전력인(487230)
조선주(139230)
원자력(434730)","원자력(434730)
우주방(478150)
ai로봇(469070)"
2024.12월2주,2024.12월3주,2024.12월4주,2024.12월5주,2024.12월6주
"에센피(449180)
나스닥(449190)
K팝(475050)","나스닥(449190)
니케이(241180)
금현물(411060)","나스닥(449190)
금현물(411060)
톱반도(446770)","항셈테(371160)
조선주(139230)
우주방(478150)","우주방(478150)
톱반도(446770)
금현물(411060)"
2024.11월1주,2024.11월2주,2024.11월3주,2024.11월4주,2024.11월5주
철강주(117680),"원자력(434730)
K팝(475050)
항셈테(371160)","방산주(449450)
우주방(478150)
나스닥(449190)","조선주(139230)
K팝(475050)
방산주(449450)","K팝(475050)
조선주(139230)
에센피(449180)"
2024.10월1주,2024.10월2주,2024.10월3주,2024.10월4주,2024.10월5주
"항셈테(371160)
철강주(117680)
에센피(449180)","방산주(449450)
철강주(117680)
금현물(411060)","금현물(411060)
바이오(244580)
에센피(449180)","금현물(411060)
방산주(449450)
조선주(139230)","금현물(411060)
철강주(117680)
톱반도(446770)"
2024.9월2주,2024.9월4주,2024.9월5주,2024.9월6주,
"니케이(241180)
바이오(244580)
유로스(195930)","금현물(411060)
에센피(449180)","금현물(411060)
에센피(449180)
인디아(453810)","에센피(449180)
항셈테(371160)
인디아(453810)",
2024.8월1주,2024.8월2주,2024.8월3주,2024.8월4주,2024.8월5주
"조선주(139230)
은행주(091170)
방산주(449450)",금현물(411060),방산주(449450),"방산주(449450)
증권주(102970)
바이오(244580)","에센피(449180)
증권주(102970)
니케이(241180)"
2024.7월1주,2024.7월2주,2024.7월3주,2024.7월4주,2024.7월5주
"인디아(453810)
조선주(139230)
코스피(069500)","나스닥(449190)
에센피(449180)
코스피(069500)","조선주(139230)
증권주(102970)
원자력(434730)","바이오(244580)
방산주(449450)
조선주(139230)","방산주(449450)
조선주(139230)
은행주(091170)"
2024.6월2주,2024.6월3주,2024.6월4주,2024.6월5주,
"톱반도(446770)
화장품(228790)
티모멘(147970)","톱반도(446770)
나스닥(449190)
에센피(449180)","톱반도(446770)
반도체(091160)
티모멘(147970)","인디아(453810)
티모멘(147970)
조선주(139230)",
2024.5월1주,2024.5월2주,2024.5월3주,2024.5월4주,2024.5월5주
