2026.4월1주,2026.4월2주,2026.4월3주,,
"DBA
PDBC
XLE","EWZ
THD
PDBC","PTF
EWT
EWZ",,
2026.3월2주,2026.3월3주,2026.3월4주,2026.3월5주,2026.3월6주
"XLE
PDBC
XAR","PDBC
XLE
DBA","PDBC
XLE
DBA","XLE
DBA
PDBC","XLE
DBA
PDBC"
2026.2월2주,2026.2월3주,2026.2월4주,2026.2월5주,
"SCHD
XLE
TUR","XLB
XLE
THD","EWY
THD
EWT","EWY
THD
PTF",
2026.1월1주,2026.1월2주,2026.1월3주,2026.1월4주,2026.1월5주
"EWY
EEM
EWP","EWY
EWP
EEM","EIS
SLV
REMX","SLV
EWY
SOXX","SLV
PICK
REMX"
2025.12월1주,2025.12월2주,2025.12월3주,2025.12월4주,2025.12월5주
"SLV
PICK
EWZ","EIS
SOXX
EWC","SLV
EZA
EWL","SLV
EZA
EWL","SLV
VEA
VGK"
2025.11월2주,2025.11월3주,2025.11월4주,2025.11월5주,
"ICLN
EWZ
EWY","EWZ
TAN
EWH","XBI
IBB
LIT","XBI
IBB
XLV",
2025.10월1주,2025.10월2주,2025.10월3주,2025.10월4주,2025.10월5주
"LIT
SLV
ARKK","SLV
REMX
LIT","SLV
GLD
VNM","IBB
EWY
XBI","EWY
SOXX
XBI"
2025.9월1주,2025.9월2주,2025.9월3주,2025.9월4주,2025.9월5주
"SLV
JETS
VNM","THD
EWS
LIT","ARKK
CARZ
THD","LIT
SLV
CARZ","LIT
SLV
REMX"
2025.8월1주,2025.8월2주,2025.8월3주,2025.8월4주,2025.8월5주
"XLU
VUG
ETHA","XLU
LQD
VNM","VNM
GREK
ETHA","VNM
ICLN
IBB","REMX
JETS
TAN"
2025.7월1주,2025.7월2주,2025.7월3주,2025.7월4주,2025.7월5주
"GREK
EIS
SCZ","GREK
ARKF
ARKK","ARKW
ARKF
IBIT","REMX
GREK
CARZ","VUG
XLK
EWH"
2025.6월2주,2025.6월3주,2025.6월4주,2025.6월5주,2025.6월6주
"ITA
EWY
XAR","EWY
XAR
ITA","EWY
EWC
ARKW","ARKW
EWY
EIS","XAR
EIS
GREK"
2025.5월1주,2025.5월2주,2025.5월3주,2025.5월4주,2025.5월5주
"EWG
EWI
EWP","EWI
EWG
GREK","EWI
GREK
ITA","EWP
GREK
EWI","EZA
VNM
EWP"
2025.4월1주,2025.4월2주,2025.4월3주,2025.4월4주,2025.4월5주
"GLD
XLE
IEF","IEF
BND
AGG",GLD,"EWP
EWW
GLD","EWP
GREK
EWW"
2025.3월2주,2025.3월3주,2025.3월4주,2025.3월5주,2025.3월6주
"EWP
EWU
HYG","GREK
EWI
VNM","GLD
GREK
FXI","ITA
XLE
GREK","GLD
SLV
XLE"
2025.2월2주,2025.2월3주,2025.2월4주,2025.2월5주,
"XLC
ARKF
GLD","EWS
GLD
EWG","GREK
DBA
EWG","EWP
EWI
UNG",
2025.1월1주,2025.1월2주,2025.1월3주,2025.1월4주,2025.1월5주
UNG,"EIS
UNG
KSA","UNG
PDBC
EIS","XAR
EIS
JETS","DBA
EWG
XLF"
2024.12월2주,2024.12월3주,2024.12월4주,2024.12월5주,2024.12월6주
"ARKF
ARKK
XLY","XLY
DBA
JETS","XLY
IBIT
DBA","EIS
UNG
JETS","UNG
JETS"
2024.11월1주,2024.11월2주,2024.11월3주,2024.11월4주,2024.11월5주
"JETS
XLC
IBIT","XLC
JETS
XLY","ARKF
JETS
ARKW","IBIT
EWS
XLE","ARKF
PDP
IBIT"
2024.10월1주,2024.10월2주,2024.10월3주,2024.10월4주,2024.10월5주
