source,uid,시간,제목,분류,영향,핵심,관련섹터,언론사,링크
breaking,588435a7047345df16e6aa692713a56a,2026-06-06 10:32,"스페이스X, ‘매출 5000조’ 전망…“밸류에이션 뻥튀기·환상론” 우려도",기타/시장잡음,부정,일론 머스크의 우주항공기업 스페이스X가 오는 12일 미국 나스닥 시장 상장을…,-,이코노미스트,https://n.news.naver.com/mnews/article/243/0000098779
breaking,e127f5448518ce0a577d82f1af5e694e,2026-06-06 10:26,美 ‘깜짝 고용’에 뉴욕증시 급락... 환율 1560원 돌파,매크로/금리,혼재,기준금리 인상 우려 커져 주식·채권·금값 동반 약세 미국 고용지표가 전문가…,"은행, 환율민감주, 수출주",조선일보,https://n.news.naver.com/mnews/article/023/0003980579
breaking,ee49f6acfc426698e31e0b92ed504080,2026-06-06 10:21,금리인상 기대에…뉴욕증시·국제 금값 동반 급락,매크로/금리,혼재,미국의 고용시장 호조가 연방준비제도의 금리 인상 결정으로 이어질 것이란 기대감이…,"은행, 환율민감주, 수출주",연합뉴스TV,https://n.news.naver.com/mnews/article/422/0000871948
breaking,d547cf98bcff6ec17325e137f8373db9,2026-06-06 10:20,"수익률 -16%에도 '사자'…8,600억 뭉칫돈 몰려간 곳",우주항공,중립,오는 12일(현지시간) 미국 항공우주기업 스페이스X의 나스닥 상장을 앞두고…,"우주항공, 방산",한국경제TV,https://n.news.naver.com/mnews/article/215/0001254490
breaking,ba9845aa9e2f9c30f6d937a8a9423842,2026-06-06 10:05,“젠슨황 새 찐친 소개합니다”…1주일새 50% 뛴 두산로보틱스 [이주의 Bull기둥],로봇,혼재,1분기 매출 전년比 189% ‘껑충’ 美 원엑시아 시너지·증설 박차 내년 AI…,"로봇, AI_인프라",매일경제,https://n.news.naver.com/mnews/article/009/0005690082
breaking,2790911718ac94d49ffb2e95e7ba3cc4,2026-06-06 10:05,스페이스X 상장 임박…국내 우주 ETF에 뭉칫돈,우주항공,중립,일론 머스크의 우주기업 스페이스X 상장이 임박하면서 국내 우주항공 테마 ETF에…,"우주항공, 방산",이데일리,https://n.news.naver.com/mnews/article/018/0006299076
breaking,708e6efd7fb1e179065986bdfa103f29,2026-06-06 10:00,AI發 훈풍에 뭉칫돈 몰린 반도체·전력 ETF… 차기 투자처는?,AI인프라/전력,긍정,지난 5월 반도체와 전력 테마 ETF(상장지수펀드)에 자금이 몰렸다.,"전력기기, 원전, 데이터센터",머니투데이,https://n.news.naver.com/mnews/article/008/0005367954
breaking,cd2093579a7423f1bf476510b4e919e9,2026-06-06 09:52,“잘 있어라 개미들아” 삼전서 ‘30조’ 팔아치운 외인…그 돈 다 어디로 흘러갔나 보니,AI/반도체,중립,"코스피 단기 급등 이후 조정 국면이 이어지는 사이, 외국인 투자자가 삼성전자와…","AI_메모리, AI_GPU, 반도체장비",서울경제,https://n.news.naver.com/mnews/article/011/0004628259
breaking,9fe06c6fc074195d06b2f34963fe190a,2026-06-06 09:49,"""삼전닉스 2배 벌자"" 개미들, 반도체ETF 팔고 '삼전닉스 레버리지'로 대이동",AI/반도체,중립,최근 개인투자자들이 일반 반도체 상장지수펀드(ETF)를 대거 매도하는 대신…,"AI_메모리, AI_GPU, 반도체장비",아시아경제,https://n.news.naver.com/mnews/article/277/0005772614
breaking,d5d88fe2de646a42d83556db54026686,2026-06-06 09:36,IMF 위환위기·금융위기·올해 6월5일…환율 3대 고점 모아보니,매크로/금리,부정,원/달러 환율이 글로벌 금융위기 이후 처음으로 1560원을 넘어서는 극심한 원화…,"은행, 환율민감주, 수출주",머니투데이,https://n.news.naver.com/mnews/article/008/0005367949
breaking,30da3cc819536a44f71bd7abfd303e43,2026-06-06 09:35,"""삼전닉스 2배 ETF, 내건 왜 더 낮지?""…수익률 성적표 보니",AI/반도체,중립,삼성전자·SK하이닉스 단일종목 레버리지 ETF(상장지수펀드)의 상장 후 첫…,"AI_메모리, AI_GPU, 반도체장비",머니투데이,https://n.news.naver.com/mnews/article/008/0005367948
breaking,e13ccf8ad3fdc763494525e7abb3f204,2026-06-06 09:31,멈춰선 SK실트론 매각…M&A 시장에 ‘새드 엔딩’은 없다,기타/시장잡음,중립,멈춰선 SK실트론 매각…M&A 시장에 ‘새드 엔딩’은 없다,-,이데일리,https://n.news.naver.com/mnews/article/018/0006299066
breaking,154de228d4967e08a4d8e11a5a007bd7,2026-06-06 09:31,하루 만에 20% 급락…삼전닉스 레버리지 ‘직격탄’,AI/반도체,혼재,인공지능 AI발 반도체 초호황 기대감에 삼성전자와 SK하이닉스 상승에 베팅했던…,"AI_메모리, AI_GPU, 반도체장비",이코노미스트,https://n.news.naver.com/mnews/article/243/0000098773
breaking,37ee350715f9e6bec687fbd52ceb02b7,2026-06-06 09:23,세계최대 비트코인 보유기업 스트래티지는 왜 4년만에 비트코인을 팔았을까 [주末머니],코인/디지털,혼재,비트코인의 약세가 지속되고 있다.,"가상자산, 증권",아시아경제,https://n.news.naver.com/mnews/article/277/0005772613
