source,uid,버킷,_bkey,시간,제목,분류,영향,핵심한줄,관련섹터,언론사,링크
main,7c26105135d71b6857db1aa6bbede107,10:00~10:30,10:00,2026-06-06 10:20:02,"수익률 -16%에도 '사자'…8,600억 뭉칫돈 몰려간 곳",AI/반도체,혼재,오는 12일(현지시간) 미국 항공우주기업 스페이스X의 나스닥 상장을 앞두고 우주테크 상장지수펀드(ETF)에…,"AI_메모리, AI_GPU, 반도체장비",한국경제TV,https://n.news.naver.com/mnews/article/215/0001254490
main,bb17f874f4b44b73bdc5b0a91c02fb1f,10:00~10:30,10:00,2026-06-06 10:05:13,“젠슨황 새 찐친 소개합니다”…1주일새 50% 뛴 두산로보틱스 [이주의 Bull기둥],로봇,긍정,"1분기 매출 전년比 189% ‘껑충’ 美 원엑시아 시너지·증설 박차 내년 AI 솔루션, 2028년 로봇…","로봇, AI_인프라",매일경제,https://n.news.naver.com/mnews/article/009/0005690082
main,d13b9ec9e72562910130ce49e8885390,10:00~10:30,10:00,2026-06-06 10:00:00,AI發 훈풍에 뭉칫돈 몰린 반도체·전력 ETF… 차기 투자처는?,AI인프라/전력,긍정,지난 5월 반도체와 전력 테마 ETF(상장지수펀드)에 자금이 몰렸다.,"전력기기, 원전, 데이터센터",머니투데이,https://n.news.naver.com/mnews/article/008/0005367954
main,a7286bf2936ed32afb1c4d20e2d71e86,09:30~10:00,09:30,2026-06-06 09:49:00,"""삼전닉스 2배 벌자"" 개미들, 반도체ETF 팔고 '삼전닉스 레버리지'로 대이동",AI/반도체,혼재,최근 개인투자자들이 일반 반도체 상장지수펀드(ETF)를 대거 매도하는 대신 삼성전자와 SK하이닉스의…,"AI_메모리, AI_GPU, 반도체장비",아시아경제,https://n.news.naver.com/mnews/article/277/0005772614
main,fdcb3eb3546febf237c3bca73840bbaa,09:30~10:00,09:30,2026-06-06 09:31:11,멈춰선 SK실트론 매각…M&A 시장에 ‘새드 엔딩’은 없다,AI/반도체,혼재,멈춰선 SK실트론 매각…M&A 시장에 ‘새드 엔딩’은 없다,"AI_메모리, AI_GPU, 반도체장비",이데일리,https://n.news.naver.com/mnews/article/018/0006299066
main,4e4b3e2853f664c713bab80efcd4fff3,09:30~10:00,09:30,2026-06-06 09:31:11,하루 만에 20% 급락…삼전닉스 레버리지 ‘직격탄’,AI/반도체,부정,인공지능 AI발 반도체 초호황 기대감에 삼성전자와 SK하이닉스 상승에 베팅했던 개인 투자자들의 손실 우려가…,"AI_메모리, AI_GPU, 반도체장비",이코노미스트,https://n.news.naver.com/mnews/article/243/0000098773
main,ba3c58164b88c9b8c285833affbcc510,09:00~09:30,09:00,2026-06-06 09:23:00,세계최대 비트코인 보유기업 스트래티지는 왜 4년만에 비트코인을 팔았을까 [주末머니],코인/디지털,혼재,비트코인의 약세가 지속되고 있다.,"가상자산, 증권",아시아경제,https://n.news.naver.com/mnews/article/277/0005772613
main,da2f1f8e21db85f4da76f8010bad064d,09:00~09:30,09:00,2026-06-06 09:16:35,'브로드컴 쇼크'…삼전닉스 비명 터질때 이 주식은 환호성 터졌다[김근희의 증시 랩업],AI/반도체,혼재,증시는 살아 있는 생명체와 같아서 늘 시시각각 변합니다.,"AI_메모리, AI_GPU, 반도체장비",머니투데이,https://n.news.naver.com/mnews/article/008/0005367946
main,cfea44d515a15de988b689a031f32201,09:00~09:30,09:00,2026-06-06 09:01:12,"""주식 5년 했다며? 돈좀 벌었어?"", '이 습관' 때문에 웃지 못하는 김대리[인치범의 주식투자 부트캠프]",기타/시장잡음,혼재,잦은 시세 확인은 뇌를 자극해 불필요하고 충동적인 거래를 유발합니다.,-,파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005531268
main,c69cd3d109d1348a05e0812b111903e9,09:00~09:30,09:00,2026-06-06 09:00:11,증시 변동성에도 ETF 유입자금 더 늘어[ETF워치],AI/반도체,긍정,이번 주 코스피는 극심한 변동성을 보였습니다.,"AI_메모리, AI_GPU, 반도체장비",비즈워치,https://n.news.naver.com/mnews/article/648/0000047758
