uid,버킷,_bkey,시간,제목,분류,영향,요약,관련섹터,언론사,링크
e593fa619584fdd362306b365f9583c5,10:00~10:30,10:00,2026-06-06 10:05:13,“젠슨황 새 찐친 소개합니다”…1주일새 50% 뛴 두산로보틱스 [이주의 Bull기둥],로봇,긍정,"1분기 매출 전년比 189% ‘껑충’ 美 원엑시아 시너지·증설 박차 내년 AI 솔루션, 2028년 로봇 기대 고밸류·적자 지속은 극복 과제 두산로보틱스 두산로보틱스가 협동로봇 전문 제조사에서 인공지능(AI) 기반 로봇 솔루션 기업으로의 전환을 본격화하면서 시장의 주목을 받고 있다. 5일 한국거래소에 따르면 두산로보틱스는 최근 1주일새(5월 28일~6월 4일) 주가가 50% 넘게 폭등하며 16","로봇, AI_인프라",매일경제,https://n.news.naver.com/mnews/article/009/0005690082
9f8756cefbc3444df085ca60788a7472,10:00~10:30,10:00,2026-06-06 10:00:00,AI發 훈풍에 뭉칫돈 몰린 반도체·전력 ETF… 차기 투자처는?,AI/반도체,긍정,"AI데이터센터 투자확대 호재에 반도체·전력 ETF, 5월 자금유입 톱10 대거 랭크 피지컬AI 차기 투자처로 주목… 운용사들, 관련 상품 잇단 출시 5월 한 달간 반도체·전력 상품 ETF들의 자금유입액/그래픽=김지영 지난 5월 반도체와 전력 테마 ETF(상장지수펀드)에 자금이 몰렸다. AI(인공지능) 데이터센터 투자확대가 메모리반도체와 전력수요 증가로 이어질 것이란 기대감이 반영됐다.","AI_메모리, AI_GPU, 반도체장비",머니투데이,https://n.news.naver.com/mnews/article/008/0005367954
3cfd6946da84e939a2c273e168a223a8,09:30~10:00,09:30,2026-06-06 09:49:00,"""삼전닉스 2배 벌자"" 개미들, 반도체ETF 팔고 '삼전닉스 레버리지'로 대이동",AI/반도체,부정,"개인 순매수 1~4위, 삼전닉스 단일종목 레버리지 차지 한 주간 3조원 몰려…반면 반도체 ETF는 순매도 최근 개인투자자들이 일반 반도체 상장지수펀드(ETF)를 대거 매도하는 대신 삼성전자와 SK하이닉스의 단일종목 레버리지 ETF는 사들이고 있는 것으로 나타났다. 여러 반도체 종목에 분산 투자하기보다 확실한 '대장주'의 상승세에 집중 투자해 수익률을 극대화하겠다는 전략으로 풀이된다.","AI_메모리, AI_GPU, 반도체장비",아시아경제,https://n.news.naver.com/mnews/article/277/0005772614
817ebc9ffae88564792a817dc9328775,09:30~10:00,09:30,2026-06-06 09:31:11,멈춰선 SK실트론 매각…M&A 시장에 ‘새드 엔딩’은 없다,AI/반도체,혼재,[위클리M&A] 두산 우협 선정 후 ‘장고’ 빠진 SK 상도덕 너머 ‘실리’ 두고 복잡한 셈법 깨진 판이 보약 됐던 한화-대우조선 ‘승자의 저주’ 털고 전화위복 될 수도 이 기사는 2026년06월06일 07시30분에 마켓인 프리미엄 콘텐츠 로 선공개 되었습니다. 구미국가산업단지 3공단에 자리한 SK실트론 본사 전경 [사진=SK실트론] [이데일리 마켓in 허지은 기자] 마무리 단계로 알려졌던 ,"AI_메모리, AI_GPU, 반도체장비",이데일리,https://n.news.naver.com/mnews/article/018/0006299066
6d40e50cedf5f9646ba3bc46d98a158d,09:30~10:00,09:30,2026-06-06 09:31:11,하루 만에 20% 급락…삼전닉스 레버리지 ‘직격탄’,AI/반도체,혼재,삼성전자·SK하이닉스_[연합뉴스 자료사진. 재판매 및 DB 금지] 인공지능 AI발 반도체 초호황 기대감에 삼성전자와 SK하이닉스 상승에 베팅했던 개인 투자자들의 손실 우려가 커지고 있다.,"AI_메모리, AI_GPU, 반도체장비",이코노미스트,https://n.news.naver.com/mnews/article/243/0000098773
bb9e11a3b4f7423a7a2483c560f00786,09:00~09:30,09:00,2026-06-06 09:23:00,세계최대 비트코인 보유기업 스트래티지는 왜 4년만에 비트코인을 팔았을까 [주末머니],매크로/금리,부정,"보유량의 0.004% 수준…우선주 배당금 지급용 ""비트코인 거래대금 늘어야 가격 반등"" 비트코인의 약세가 지속되고 있다. 5월 중순 이후 이란 노이즈와 금리·유가에 영향을 받으며 지속적인 약세를 보였다.","은행, 환율민감주, 수출주",아시아경제,https://n.news.naver.com/mnews/article/277/0005772613
bfd2ff884c8167e4a7b794a60121fbf5,09:00~09:30,09:00,2026-06-06 09:16:35,'브로드컴 쇼크'…삼전닉스 비명 터질때 이 주식은 환호성 터졌다[김근희의 증시 랩업],AI/반도체,긍정,"[편집자주] 증시는 살아 있는 생명체와 같아서 늘 시시각각 변합니다. '김근희의 증시 랩업'은 한 주간 상승·하락한 종목들과 증시 주요 이벤트 등을 살펴보며 시장의 흐름을 짚고, 투자자들이 현명한 투자 전략을 짤 수 있도록 돕겠습니다.","AI_메모리, AI_GPU, 반도체장비",머니투데이,https://n.news.naver.com/mnews/article/008/0005367946
4de138e6ae54ddfb3f1536102cc87723,09:00~09:30,09:00,2026-06-06 09:01:12,"""주식 5년 했다며? 돈좀 벌었어?"", '이 습관' 때문에 웃지 못하는 김대리[인치범의 주식투자 부트캠프]",바이오,혼재,"주식하는 20대, 살아남으려면 잘못된 투자 습관 고쳐야 올랐다고 즉시 팔고, 내리면 못 파는 '처분효과' 수익 좀 냈다고 과신하는 '과잉확신' '한방' 노리고 투자하는 '복권형 주식선호' 남들 다 투자하는 특정 주식 따라가는 '단기 군집 거래' 왼쪽부터 박정민·임지연·류승범, 영화 '타짜: 원 아이드 잭' /사진=뉴시스 잦은 시세 확인은 뇌를 자극해 불필요하고 충동적인 거래를 유발합니다. 확",제약바이오,파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005531268
cced28923d5c87bb4a93f742388fc841,09:00~09:30,09:00,2026-06-06 09:00:11,증시 변동성에도 ETF 유입자금 더 늘어[ETF워치],AI/반도체,긍정,"KODEX ETF 순자산 200조 돌파…국내 점유율 40% 미래에셋 글로벌 ETF AUM 421조…우주 ETF도↑ HANARO·PLUS 반도체 ETF 순자산 확대도 지속 이번 주 코스피는 극심한 변동성을 보였습니다. 지난 1일과 2일 각각 3.68%, 0.15% 올랐지만, 지방선거일(6월 3일) 이후인 4일과 5일에는 각각 1.84%, 5.54% 하락했습니다.","AI_메모리, AI_GPU, 반도체장비",비즈워치,https://n.news.naver.com/mnews/article/648/0000047758
41ec10e5878e7ba2ae6bc198b4b62fab,09:00~09:30,09:00,2026-06-06 09:00:00,'스페이스X' 상장 임박…우주항공 ETF에 兆단위 뭉칫돈 유입,원자재,긍정,"자산운용사, 우주항공 ETF 라인업 강화 ""단기 과열 주의보·변동성 경계해야"" [케이프커내버럴=AP/뉴시스] 일론 머스크의 우주 기업 스페이스X가 기업공개(IPO)를 앞두고 전체 공모 물량의 최대 5%를 임직원과 내부 관계자들에게 배정하기로 했다. 1일(현지시간) 미국 월스트리트저널 등 외신에 따르면, 스페이스X는 이날 미 증권거래위원회(SEC)에 제출한 수정 증권신고서를 통해 전체 발행 주","에너지, 화학, 정유",뉴시스,https://n.news.naver.com/mnews/article/003/0013990326
