ticker,name,close,change,nxt,market_cap_uk,tv_today_uk,tv5_uk,state,legacy_state,setup_score,total_score,sideways_score,convergence_score,long_structure_score,breakout_score,grade,best_setup_score,best_setup_age,ma5,ma10,ma20,ma60,ma120,close_range_pct,net_change_pct,low_change_pct,tr_ratio,spread_pct,spread_5bars_ago,spread_10bars_ago,shrink_pct,ma20_slope_abs_pct,convergence_hits,ma60_down_ratio,ma120_down_ratio,close_ma60_gap_pct,close_ma120_gap_pct,ma20_ma60_gap_pct,volume_ratio,close_location,breakout_margin_pct,score_sideways_range,score_sideways_net,score_low_stability,score_volatility_contraction,score_spread_level,score_spread_shrink,score_spread_sequence,score_ma20_flatness,score_convergence_persistence,score_ma60_down,score_ma120_down,score_close_ma60_gap,score_close_ma120_gap,score_ma20_ma60_gap,score_first_breakout,score_volume,score_close_location,score_breakout_margin,mandatory_structure_pass,sideways_min_pass,convergence_min_pass,setup_min_pass,setup_ready,first_all_above,fire_ready
267270,HD건설기계,126200.0,1.61,NXT,58848,344.0,619.0,,WATCH,38.14,,10.22,18.98,8.94,0.29,,,,121760.0,126950.0,126130.0,140970.0,144049.17,21.48,1.28,-8.38,1.52,4.26,4.61,2.69,-58.65,0.15,10,70.73,4.88,11.7,14.14,11.77,0.67,0.46,-0.59,0.0,9.14,1.08,0.0,7.48,0.0,1.5,5.0,5.0,2.57,0.0,3.0,2.37,1.0,0.0,0.0,0.29,0.0,True,False,True,False,False,False,False
009540,HD한국조선해양,368000.0,-3.16,NXT,231428,647.0,1260.0,,,58.42,,19.5,27.23,11.69,1.59,,60.81,4,362300.0,364050.0,353650.0,387200.0,400154.17,15.85,0.96,-2.79,1.41,2.94,3.55,3.71,20.68,0.11,10,78.05,95.12,5.22,8.74,9.49,0.61,0.18,1.09,3.32,9.36,6.82,0.0,10.18,4.05,3.0,5.0,5.0,3.3,4.0,1.83,1.56,1.0,0.0,0.0,0.0,1.59,True,False,True,False,False,False,False
267250,HD현대,197900.0,-5.76,NXT,150165,323.0,480.0,,WATCH,39.21,,10.78,17.43,11.0,0.09,,,,199620.0,207910.0,203795.0,237083.33,251354.17,20.45,5.54,-3.78,1.33,4.15,5.16,1.93,-115.52,0.88,8,95.12,43.9,19.8,27.01,16.33,0.84,0.26,-4.81,0.0,5.46,5.32,0.0,7.69,0.0,1.5,4.24,4.0,4.0,0.0,3.0,3.0,1.0,0.0,0.09,0.0,0.0,True,False,False,False,False,False,False
071970,HD현대마린엔진,50000.0,1.21,NXT,18792,215.0,350.0,,,18.13,,0.63,2.5,15.0,1.4,,,,50360.0,57680.0,57855.0,67256.67,76186.67,40.68,20.38,-12.43,1.21,14.88,6.42,4.92,-202.74,5.46,5,100.0,100.0,34.51,52.37,16.25,0.91,0.65,-13.58,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,2.5,4.0,4.0,3.0,3.0,1.0,0.0,0.28,1.12,0.0,True,False,False,False,False,False,False
267260,HD현대일렉트릭,672000.0,-1.61,NXT,287295,1219.0,2464.0,,,9.05,,0.0,1.5,7.55,0.0,,,,646400.0,730600.0,777650.0,982900.0,995891.67,58.22,27.27,-27.69,1.49,20.3,6.93,12.75,-59.27,9.58,0,53.66,43.9,46.26,48.2,26.39,0.73,0.32,-13.59,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.55,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False
028300,HLB,30750.0,0.99,NXT,35563,466.0,483.0,,,37.86,,15.0,10.0,12.86,0.41,,,,30360.0,30335.0,34760.0,45390.83,49914.58,106.24,36.92,14.79,0.4,14.59,30.72,44.61,67.3,12.27,0,85.37,65.85,47.61,62.32,30.58,0.47,0.48,-11.54,0.0,0.0,10.0,5.0,0.0,7.0,3.0,0.0,0.0,3.77,2.09,3.0,3.0,1.0,0.0,0.0,0.41,0.0,True,False,False,False,False,False,False
204320,HL만도,46900.0,4.92,,21060,518.0,338.0,,,24.75,,5.37,6.6,12.78,8.42,,,,42270.0,43730.0,45362.5,53746.67,54215.0,27.11,5.63,-10.16,1.49,7.32,4.31,7.34,0.35,3.62,2,70.73,82.93,14.6,15.6,18.48,1.56,0.57,3.39,0.0,5.37,0.0,0.0,1.37,2.04,1.5,0.69,1.0,2.57,3.65,3.0,2.56,1.0,4.0,1.56,0.86,2.0,True,False,False,False,False,True,False
095340,ISC,123600.0,-3.29,NXT,31795,229.0,314.0,,,12.9,,0.4,1.5,11.0,0.0,,,,117720.0,128960.0,137905.0,182831.67,198506.67,45.88,18.79,-18.69,1.24,17.15,8.04,11.74,-46.1,8.96,0,90.24,12.2,47.92,60.6,32.58,0.63,0.18,-10.37,0.0,0.0,0.0,0.4,0.0,0.0,1.5,0.0,0.0,4.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False
030200,KT,52100.0,0.39,NXT,130043,192.0,339.0,WATCH,WATCH,71.64,,29.9,33.62,8.12,1.23,B,74.78,1,52820.0,53140.0,53490.0,54595.0,57940.0,9.06,4.58,-0.58,0.94,1.27,1.29,2.47,48.73,0.36,10,100.0,51.22,4.79,11.21,2.07,0.64,0.69,-2.6,11.42,6.42,9.42,2.64,14.46,6.16,3.0,5.0,5.0,4.0,0.18,1.67,1.93,0.34,0.0,0.0,1.23,0.0,True,True,True,True,True,False,False
373220,LG에너지솔루션,314000.0,-3.24,NXT,753480,1136.0,1660.0,,WATCH,40.18,,6.02,20.34,13.82,0.0,,,,314300.0,322200.0,325175.0,379000.0,393616.67,17.38,11.42,-5.07,1.33,3.46,2.63,5.39,35.76,3.84,8,73.17,90.24,20.7,25.36,16.55,0.78,0.19,-3.44,2.09,0.0,3.93,0.0,9.08,5.18,1.5,0.58,4.0,2.82,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,True,False,True,False,False,False,False
