base_market	base_ticker	base_name	lev_market	lev_ticker	lev_name	lev_mult	match_type	note
US	ARKF	ARK Fintech Innovation					NO_3X	no clear 3x match in us_symbol_master
US	ARKK	ARK Innovation	US	BULZ	MicroSectors FANG & Innovation 3X Leveraged ETN	3	PROXY_3X	FANG/innovation proxy; not ARKK-specific
US	ARKW	ARK Next Generation Internet	US	WEBL	Direxion Daily Dow Jones Internet Bull 3X ETF	3	PROXY_3X	internet theme proxy; not ARKW-specific
US	BOTZ	Global Robotics & AI	US	AIQU	MicroSectors 3X Long Artificial Intelligence ETN	3	PROXY_3X	AI proxy; robotics exposure not exact
US	CARZ	Global Auto	US	CARU	MAX Auto Industry 3X Leveraged ETN	3	PROXY_3X	auto industry 3x proxy
US	CIBR	Cybersecurity					NO_3X	no clear 3x match in us_symbol_master
US	COPX	Copper Miners					NO_3X	no clear 3x match in us_symbol_master
US	DBA	Agriculture					NO_3X	no clear 3x match in us_symbol_master
US	DIA	Dow 30	US	UDOW	ProShares UltraPro Dow30	3	EXACT_3X	Dow 30 representative 3x
US	EFA	MSCI EAFE					NO_3X	no clear 3x match in us_symbol_master
US	EIDO	Indonesia					NO_3X	no clear 3x match in us_symbol_master
US	EIS	Israel					NO_3X	no clear 3x match in us_symbol_master
US	EMGF	Emerging Multifactor					NO_3X	no clear 3x match in us_symbol_master
US	ENZL	New Zealand					NO_3X	no clear 3x match in us_symbol_master
US	EPHE	Philippines					NO_3X	no clear 3x match in us_symbol_master
US	ETHA	Ethereum Spot					NO_3X	2x exists, but no clear 3x match in us_symbol_master
US	EWA	Australia					NO_3X	no clear 3x match in us_symbol_master
US	EWC	Canada					NO_3X	no clear 3x match in us_symbol_master
US	EWG	Germany					NO_3X	no clear 3x match in us_symbol_master
US	EWH	Hong Kong					NO_3X	no clear 3x match in us_symbol_master
US	EWI	Italy					NO_3X	no clear 3x match in us_symbol_master
US	EWJ	Japan					NO_3X	2x exists, but no clear 3x match in us_symbol_master
US	EWL	Switzerland					NO_3X	no clear 3x match in us_symbol_master
US	EWM	Malaysia					NO_3X	no clear 3x match in us_symbol_master
US	EWP	Spain					NO_3X	no clear 3x match in us_symbol_master
US	EWQ	France					NO_3X	no clear 3x match in us_symbol_master
US	EWS	Singapore					NO_3X	no clear 3x match in us_symbol_master
US	EWT	Taiwan					NO_3X	2x exists, but no clear 3x match in us_symbol_master
US	EWU	United Kingdom					NO_3X	no clear 3x match in us_symbol_master
US	EWW	Mexico	US	MEXX	Direxion Daily MSCI Mexico Bull 3X ETF	3	EXACT_3X	Mexico representative 3x
US	EWY	South Korea	US	KORU	Direxion Daily MSCI South Korea Bull 3X ETF	3	EXACT_3X	South Korea representative 3x
US	EWZ	Brazil					NO_3X	2x exists, but no clear 3x match in us_symbol_master
US	EZA	South Africa					NO_3X	no clear 3x match in us_symbol_master
US	EZU	Eurozone	US	EURL	Direxion Daily FTSE Europe Bull 3X ETF	3	PROXY_3X	Europe 3x proxy for Eurozone
US	FXI	China Large Cap	US	YINN	Direxion Daily FTSE China Bull 3X ETF	3	EXACT_3X	China large-cap representative 3x
US	GLD	Gold	US	SHNY	MicroSectors Gold 3X Leveraged ETN	3	EXACT_3X	gold representative 3x ETN
US	GMOM	Global Momentum					NO_3X	no clear 3x match in us_symbol_master
US	GREK	Greece					NO_3X	no clear 3x match in us_symbol_master
US	GRID	Smart Grid Infrastructure					NO_3X	no clear 3x match in us_symbol_master
US	GUNR	Natural Resources					NO_3X	no clear 3x match in us_symbol_master
