base_market	base_ticker	base_name	lev_market	lev_ticker	lev_name	lev_mult	match_type	note
KR	091160	반도체	KR	494310	KODEX 반도체레버리지	2	EXACT_2X	KR 반도체 레버리지 중 거래량 우위
KR	091180	자동차	KR	091180	자동차	1	SELF	매칭 레버리지 없음
KR	305720	이차전	KR	462330	KODEX 2차전지산업레버리지	2	EXACT_2X	2차전지 산업 직접 매칭
KR	117460	에너지	KR	243890	TIGER 200에너지화학레버리지	2	PROXY_2X	에너지/화학 업종 프록시
KR	244580	바이오	KR	244580	바이오	1	SELF	매칭 레버리지 없음
KR	091170	은행주	KR	091170	은행주	1	SELF	매칭 레버리지 없음
KR	102970	증권주	KR	102970	증권주	1	SELF	매칭 레버리지 없음
KR	117680	철강주	KR	117680	철강주	1	SELF	매칭 레버리지 없음
KR	117700	건설주	KR	117700	건설주	1	SELF	매칭 레버리지 없음
KR	139230	조선주	KR	0080Y0	SOL 조선TOP3플러스레버리지	2	EXACT_2X	조선 테마 직접 매칭
KR	228790	화장품	KR	228790	화장품	1	SELF	매칭 레버리지 없음
KR	495050	밸류업	KR	495050	밸류업	1	SELF	매칭 레버리지 없음
KR	069500	코스피	KR	122630	KODEX 레버리지	2	EXACT_2X	KOSPI200 대표 2x
KR	229200	코스닥	KR	233740	KODEX 코스닥150레버리지	2	EXACT_2X	코스닥150 대표 2x
KR	487230	전력인	KR	487230	전력인	1	SELF	매칭 레버리지 없음
KR	449450	방산주	KR	0100K0	KODEX 방산TOP10레버리지	2	EXACT_2X	방산 테마 직접 매칭
KR	475050	K팝	KR	475050	K팝	1	SELF	매칭 레버리지 없음
KR	371160	항셈테	KR	438320	TIGER 차이나항셍테크레버리지(합성 H)	2	EXACT_2X	항셍테크 직접 매칭
KR	455850	반소부	KR	494310	KODEX 반도체레버리지	2	PROXY_2X	반도체 소재/부품은 broad 반도체로 대체
KR	0051G0	에셈알	KR	0051G0	에셈알	1	SELF	매칭 레버리지 없음
KR	0038A0	미로봇	KR	0038A0	미로봇	1	SELF	매칭 레버리지 없음
KR	0048K0	중로봇	KR	0048K0	중로봇	1	SELF	매칭 레버리지 없음
KR	0023A0	양자컴	KR	0023A0	양자컴	1	SELF	매칭 레버리지 없음
KR	195930	유로스	KR	225050	TIGER 유로스탁스레버리지(합성 H)	2	EXACT_2X	유로스탁스 직접 매칭
KR	377990	신재생	KR	377990	신재생	1	SELF	매칭 레버리지 없음
KR	411060	금현물	KR	225130	ACE 골드선물 레버리지(합성 H)	2	PROXY_2X	현물 금을 금선물 2x로 대체
KR	478150	우주방	KR	478150	우주방	1	SELF	매칭 레버리지 없음
KR	453810	인디아	KR	236350	TIGER 인도니프티50레버리지(합성)	2	EXACT_2X	인도 대표 2x
KR	446770	톱반도	KR	494310	KODEX 반도체레버리지	2	PROXY_2X	반도체 TOP 계열을 broad 반도체로 대체
KR	434730	원자력	KR	434730	원자력	1	SELF	매칭 레버리지 없음
KR	469070	ai로봇	KR	469070	ai로봇	1	SELF	매칭 레버리지 없음
KR	449180	에센피	KR	225040	TIGER 미국S&P500레버리지(합성 H)	2	EXACT_2X	S&P500 직접 매칭
KR	449190	나스닥	KR	418660	TIGER 미국나스닥100레버리지(합성)	2	EXACT_2X	Nasdaq100 대표 2x
KR	241180	니케이	KR	196030	ACE 일본TOPIX레버리지(H)	2	PROXY_2X	니케이 직접 2x 부재로 TOPIX 2x 사용
KR	147970	티모멘	KR	147970	티모멘	1	SELF	매칭 레버리지 없음
KR	325020	케모멘	KR	325020	케모멘	1	SELF	매칭 레버리지 없음
US	ARKF	ARK Fintech Innovation	US	ARKF	ARK Fintech Innovation	1	SELF	매칭 레버리지 없음
US	ARKK	ARK Innovation	US	TARK	AXS 2X Innovation ETF	2	EXACT_2X	ARKK 2x 대체
US	ARKW	ARK Next Generation Internet	US	ARKW	ARK Next Generation Internet	1	SELF	ARKK/TARK 대체는 가능하나 직접 매칭 아님
US	BOTZ	Global Robotics & AI	US	UBOT	Direxion Daily Robotics & AI Bull 2X ETF	2	PROXY_2X	로봇/AI 테마 프록시
US	CARZ	Global Auto	US	CARU	MAX Auto Industry 3X ETN	3	PROXY_3X	자동차 레버리지 대표 후보
US	CIBR	Cybersecurity	US	UCYB	ProShares Ultra Nasdaq Cybersecurity	2	EXACT_2X	사이버보안 2x
