market,ticker,name,name_en,kind,mult,exchange,type,category,price,chg_pct,volume,basis,source
KR,252670,KODEX 200선물인버스2X,,인버스,-2,KRX,ETF,F-KOSPI200,102,+10.87,4294967295,종목명,ka40004
KR,114800,KODEX 인버스,,인버스,-1,KRX,ETF,F-KOSPI200,1125,+5.93,892620669,종목명,ka40004
KR,0197X0,SOL SK하이닉스선물단일종목인버스2X,,인버스,-2,KRX,ETF,KRX SK하이닉스 선물 지수,11960,+16.06,316392130,종목명,ka40004
KR,0193T0,KODEX SK하이닉스단일종목레버리지,,레버리지,2,KRX,ETF,KRX SK하이닉스 지수,13015,-16.25,231664662,종목명,ka40004
KR,0195S0,TIGER SK하이닉스단일종목레버리지,,레버리지,2,KRX,ETF,KRX SK하이닉스 지수,10990,-16.17,119176537,종목명,ka40004
KR,0193W0,KODEX 삼성전자단일종목레버리지,,레버리지,2,KRX,ETF,KRX 삼성전자 지수,12430,-15.10,82782779,종목명,ka40004
KR,252710,TIGER 200선물인버스2X,,인버스,-2,KRX,ETF,F-KOSPI200,110,+11.11,80025226,종목명,ka40004
KR,233740,KODEX 코스닥150레버리지,,레버리지,2,KRX,ETF,KOSDAQ 150,5875,-12.83,73067353,종목명,ka40004
KR,462330,KODEX 2차전지산업레버리지,,레버리지,2,KRX,ETF,,885,-11.41,61672632,종목명,ka40004
KR,0195R0,TIGER 삼성전자단일종목레버리지,,레버리지,2,KRX,ETF,KRX 삼성전자 지수,11380,-15.39,53232814,종목명,ka40004
KR,251340,KODEX 코스닥150선물인버스,,인버스,-1,KRX,ETF,F-KOSDAQ150,2860,+6.52,39577154,종목명,ka40004
KR,122630,KODEX 레버리지,,레버리지,2,KRX,ETF,KOSPI200,113390,-12.07,13089108,종목명,ka40004
KR,0193L0,PLUS 삼성전자선물단일종목인버스2X,,인버스,-2,KRX,ETF,KRX 삼성전자 선물 지수,17340,+15.25,12234225,종목명,ka40004
KR,123310,TIGER 인버스,,인버스,-1,KRX,ETF,F-KOSPI200,1268,+6.20,5568746,종목명,ka40004
KR,412570,TIGER 2차전지TOP10레버리지,,레버리지,2,KRX,ETF,KRX 2차전지 TOP 10,1057,-8.80,3844188,종목명,ka40004
KR,0197W0,SOL SK하이닉스단일종목레버리지,,레버리지,2,KRX,ETF,KRX SK하이닉스 지수,10815,-16.58,3572098,종목명,ka40004
KR,271050,KODEX WTI원유선물인버스(H),,인버스,-1,KRX,ETF,,1936,-2.91,3482002,종목명,ka40004
KR,252420,RISE 200선물인버스2X,,인버스,-2,KRX,ETF,F-KOSPI200,105,+11.70,2818182,종목명,ka40004
KR,253230,KIWOOM 200선물인버스2X,,인버스,-2,KRX,ETF,F-KOSPI200,101,+10.99,2284426,종목명,ka40004
KR,0194T0,ACE SK하이닉스단일종목레버리지,,레버리지,2,KRX,ETF,KRX SK하이닉스 지수,10955,-16.15,1861354,종목명,ka40004
KR,233160,TIGER 코스닥150 레버리지,,레버리지,2,KRX,ETF,KOSDAQ 150,6455,-12.30,1759104,종목명,ka40004
KR,0100K0,KODEX 방산TOP10레버리지,,레버리지,2,KRX,ETF,,7415,-1.98,1444330,종목명,ka40004
KR,494310,KODEX 반도체레버리지,,레버리지,2,KRX,ETF,KRX반도체,78485,-16.99,1349664,종목명,ka40004
KR,488080,TIGER 반도체TOP10레버리지,,레버리지,2,KRX,ETF,,35400,-15.51,1264652,종목명,ka40004
KR,0080Y0,SOL 조선TOP3플러스레버리지,,레버리지,2,KRX,ETF,,10085,-4.63,1188622,종목명,ka40004
KR,217770,TIGER 원유선물인버스(H),,인버스,-1,KRX,ETF,,1232,-3.22,901791,종목명,ka40004
KR,0192L0,RISE SK하이닉스단일종목레버리지,,레버리지,2,KRX,ETF,KRX SK하이닉스 지수,11090,-15.41,805210,종목명,ka40004
KR,253160,PLUS 200선물인버스2X,,인버스,-2,KRX,ETF,F-KOSPI200,207,+11.89,733269,종목명,ka40004
KR,0194M0,ACE 삼성전자단일종목레버리지,,레버리지,2,KRX,ETF,KRX 삼성전자 지수,11450,-15.59,657968,종목명,ka40004
KR,0198D0,1Q SK하이닉스선물단일종목레버리지,,레버리지,2,KRX,ETF,KRX SK하이닉스 선물 지수,11460,-15.67,578801,종목명,ka40004
KR,295020,RISE 국채선물10년인버스,,인버스,-1,KRX,ETF,,61265,+0.47,502038,종목명,ka40004
KR,250780,TIGER 코스닥150선물인버스,,인버스,-1,KRX,ETF,F-KOSDAQ150,2870,+6.89,498598,종목명,ka40004
KR,0198B0,1Q 삼성전자선물단일종목레버리지,,레버리지,2,KRX,ETF,KRX 삼성전자 선물 지수,11835,-15.13,357482,종목명,ka40004
KR,418660,TIGER 미국나스닥100레버리지(합성),,레버리지,2,KRX,ETF,NASDAQ 100,41955,-4.07,347210,종목명,ka40004
KR,261260,KODEX 미국달러선물인버스2X,,인버스,-2,KRX,ETF,,4730,0.00,331146,종목명,ka40004
KR,145670,ACE 인버스,,인버스,-1,KRX,ETF,F-KOSPI200,1410,+5.86,301764,종목명,ka40004
