티커,산업,Signal_sco,수익률(%),Final_score,sco_bucket,rtn_bucket,표시이름
GLD,GLD,-0.25,-10.348551961434605,0.46682597593336395,<0,<0%,GLD
117460,에너지,-0.5,-24.145785876993166,0.44019065881566666,<0,<0%,에너지(117460)
PDBC,PDBC,-3.0,-7.1159016124756835,0.4099324343416115,<0,<0%,PDBC
IBIT,IBIT,-1.75,-21.47621966876575,0.3743377483999,<0,<0%,IBIT
TUR,TUR,-5.0,-10.203988843640044,0.3533979248907334,<0,<0%,TUR
411060,금현물,-3.25,-12.55034638311584,0.34590330993178375,<0,<0%,금현물(411060)
325020,케모멘,-1.75,-5.9064136125654425,0.3392755354781922,<0,<0%,케모멘(325020)
091180,자동차,-2.75,-19.969846491228072,0.3026652992428303,<0,<0%,자동차(091180)
147970,티모멘,-0.75,-17.088342916884468,0.3023648461624271,<0,<0%,티모멘(147970)
0051G0,에셈알,-2.5,-20.530565167243363,0.2961453254318782,<0,<0%,0051G0
TLT,TLT,-8.0,-2.4246120259002746,0.25951036641852226,<0,<0%,TLT
371160,항셈테,-5.25,-8.677184466019416,0.2571115519915213,<0,<0%,항셈테(371160)
ICLN,ICLN,-3.5,-16.389156367458256,0.2483066256043559,<0,<0%,ICLN
0048K0,중로봇,-0.5,-17.727674624226353,0.24156272296407086,<0,<0%,0048K0
0038A0,미로봇,-2.75,-13.159340659340657,0.23721874584770036,<0,<0%,0038A0
475050,K팝,-3.0,-19.215463331438322,0.2098050743606976,<0,<0%,K팝(475050)
XLU,XLU,-9.25,-3.285326990357884,0.20847812449292527,<0,<0%,XLU
446770,톱반도,-2.25,-5.608838169236375,0.19786000070075835,<0,<0%,톱반도(446770)
EWY,EWY,-2.25,-14.897594024916327,0.19490741362455422,<0,<0%,EWY
TAN,TAN,-5.75,-18.715304329654224,0.1872452616562503,<0,<0%,TAN
REMX,REMX,-3.75,-32.96813750825769,0.1631627212759867,<0,<0%,REMX
487230,전력인,-4.0,-24.03915881073242,0.1394476457467171,<0,<0%,전력인(487230)
495050,밸류업,-4.75,-14.172240802675585,0.1359363820659176,<0,<0%,밸류업(495050)
069500,코스피,-5.75,-16.204869857262803,0.1120925864819007,<0,<0%,코스피(069500)
455850,반소부,-5.0,-33.14222009874184,0.09859285567991494,<0,<0%,반소부(455850)
102970,증권주,-5.75,-35.28109028960817,0.09383508543846954,<0,<0%,증권주(102970)
091160,반도체,-5.75,-24.186627926619142,0.09071235510094475,<0,<0%,반도체(091160)
UNG,UNG,-10.75,-14.17112401735211,0.048038892618669005,<0,<0%,UNG
FXI,FXI,6.5,-3.336187203781016,0.709021782725001,0~7,<0%,FXI
GUNR,GUNR,6.0,-4.320407922001701,0.6808613122037314,0~7,<0%,GUNR
EWW,EWW,6.0,-3.069481022687459,0.6395217712987415,0~7,<0%,EWW
EWM,EWM,6.25,-4.834678395320391,0.6191871701822399,0~7,<0%,EWM
EZA,EZA,4.0,-4.731467042346216,0.6093723252799635,0~7,<0%,EZA
EIDO,EIDO,5.25,-12.184728593748185,0.6082139218035393,0~7,<0%,EIDO
GRID,GRID,6.25,-6.737379499872709,0.5773752227921581,0~7,<0%,GRID
EWH,EWH,4.5,-6.029687040757315,0.5755008873860546,0~7,<0%,EWH
XME,XME,2.75,-11.333312940033213,0.5630611745891327,0~7,<0%,XME
SRVR,SRVR,4.5,-10.751442236842657,0.544652257001971,0~7,<0%,SRVR
XLC,XLC,3.5,-3.5566396357695207,0.5328776561900322,0~7,<0%,XLC
EIS,EIS,3.75,-10.722785960333391,0.5282063800521484,0~7,<0%,EIS
ETHA,ETHA,0.75,-18.50594478576546,0.5187247730201228,0~7,<0%,ETHA
117700,건설주,4.25,-25.05643340857788,0.513167509130712,0~7,<0%,건설주(117700)
BOTZ,BOTZ,3.25,-10.533838715506894,0.5077831873592551,0~7,<0%,BOTZ
EWZ,EWZ,1.25,-6.4901423131598746,0.507419048190236,0~7,<0%,EWZ
EMGF,EMGF,4.0,-3.9290508500688825,0.49673404353954614,0~7,<0%,EMGF
ARKW,ARKW,4.75,-3.6047876282728097,0.49136304199691616,0~7,<0%,ARKW
117680,철강주,2.25,-30.049838756962764,0.48453845553549163,0~7,<0%,철강주(117680)
469070,ai로봇,3.0,-28.28685258964143,0.48047308877286216,0~7,<0%,ai로봇(469070)
QMOM,QMOM,2.0,-5.307555678257203,0.47273874652739006,0~7,<0%,QMOM
PDP,PDP,4.0,-3.044784760150243,0.4652673230835016,0~7,<0%,PDP
DBA,DBA,2.0,-3.1768429966608225,0.4502315363318855,0~7,<0%,DBA
449450,방산주,0.75,-23.10451879958606,0.4384533966428545,0~7,<0%,방산주(449450)
305720,이차전,0.75,-32.31781623202534,0.43533976617196707,0~7,<0%,이차전(305720)
URA,URA,2.25,-24.515112513573566,0.42955318035571693,0~7,<0%,URA
478150,우주방,1.0,-5.8129370629370625,0.4292559949499718,0~7,<0%,우주방(478150)
CARZ,CARZ,3.25,-8.542827140592902,0.4253642791973376,0~7,<0%,CARZ
LIT,LIT,1.75,-20.62729940983905,0.4158700599760784,0~7,<0%,LIT
377990,신재생,1.5,-35.54128194834738,0.40585454631650286,0~7,<0%,신재생(377990)
244580,바이오,1.5,-26.149914821124366,0.39786549279857725,0~7,<0%,바이오(244580)
SLV,SLV,0.0,-28.39743785369091,0.39589739553804987,0~7,<0%,SLV
SMH,SMH,1.25,-0.8380935798971034,0.3854037784422741,0~7,<0%,SMH
ARKK,ARKK,2.0,-5.372979492629526,0.38209562195060337,0~7,<0%,ARKK
139230,조선주,0.75,-32.30379746835443,0.37872872127458435,0~7,<0%,조선주(139230)
VNM,VNM,0.0,-10.492560801998518,0.3770584187482313,0~7,<0%,VNM
434730,원자력,0.75,-35.32372066723212,0.3633906564135755,0~7,<0%,원자력(434730)
229200,코스닥,1.5,-29.485538776554897,0.3442947739966574,0~7,<0%,코스닥(229200)
PTF,PTF,0.5,-15.859737078304725,0.24661530984450866,0~7,<0%,PTF
0023A0,양자컴,1.0,-22.7836746897892,0.23119503059034296,0~7,<0%,0023A0
PICK,PICK,10.25,-4.759852592660985,0.7724355479397184,8~10,<0%,PICK
COPX,COPX,9.75,-1.3785172396373446,0.7411521109963463,8~10,<0%,COPX
VWO,VWO,10.0,-0.5940330568717567,0.6909170696123282,8~10,<0%,VWO
KSA,KSA,9.25,-2.36113646132744,0.6886919637215102,8~10,<0%,KSA
ARKF,ARKF,8.25,-1.4574582351636223,0.6414828987217928,8~10,<0%,ARKF
GMOM,GMOM,11.75,-2.100508213719443,0.7751224888738644,11+,<0%,GMOM
XLY,XLY,12.0,-0.8667783118101569,0.7195529732725074,11+,<0%,XLY
453810,인디아,-2.5,0.12111425111021035,0.3536545300398198,<0,0~15%,인디아(453810)
XLE,XLE,6.0,2.4653440160650852,0.672649552029426,0~7,0~15%,XLE
ITB,ITB,7.75,7.806059249372077,0.6594514356087592,0~7,0~15%,ITB
XLP,XLP,7.5,2.7954214519597675,0.6498943745448087,0~7,0~15%,XLP
449190,나스닥,7.75,0.5665080444142268,0.6204399445394486,0~7,0~15%,나스닥(449190)
IBB,IBB,6.25,13.527733114605223,0.6202584572118047,0~7,0~15%,IBB
XBI,XBI,4.0,14.769319076759446,0.5095035246772186,0~7,0~15%,XBI
VNQ,VNQ,1.5,2.289919503288518,0.4879826573427045,0~7,0~15%,VNQ
241180,니케이,2.75,1.4578076815250807,0.44539391509353,0~7,0~15%,니케이(241180)
MTUM,MTUM,2.0,0.6034243828122898,0.4434886111770815,0~7,0~15%,MTUM
XLB,XLB,9.5,0.20105342587608543,0.7250393885350329,8~10,0~15%,XLB
THD,THD,9.0,5.095127186473047,0.7021847714563979,8~10,0~15%,THD
091170,은행주,8.5,5.063704671675917,0.7018821286482587,8~10,0~15%,은행주(091170)
XLK,XLK,9.0,4.31244986542032,0.6534632201046784,8~10,0~15%,XLK
QQQ,QQQ,9.5,0.30077831271178024,0.6465800989231221,8~10,0~15%,QQQ
EWT,EWT,8.0,4.971695064531789,0.578988859959224,8~10,0~15%,EWT
XLF,XLF,16.0,13.34995949047757,0.9232309547178302,11+,0~15%,XLF
195930,유로스,16.0,12.374503852439878,0.9198102264895834,11+,0~15%,유로스(195930)
