티커,산업,Signal_sco,수익률(%),Final_score,sco_bucket,rtn_bucket,표시이름
371160,항셈테,-0.25,-3.4313725490196068,0.524229279198367,<0,<0%,항셈테(371160)
EIS,EIS,-1.5,-4.528606542334068,0.44438300558652455,<0,<0%,EIS
EWG,EWG,-3.0,-0.17684399297546172,0.4374320054272766,<0,<0%,EWG
XLY,XLY,-3.0,-2.773780130280079,0.43048604608645175,<0,<0%,XLY
EWW,EWW,-2.25,-2.2880793223064244,0.42291357903944166,<0,<0%,EWW
VWO,VWO,-2.5,-0.5004439363802793,0.4192734958880521,<0,<0%,VWO
XLB,XLB,-6.0,-2.0302589226545487,0.39197325478164746,<0,<0%,XLB
INDA,INDA,-7.75,-1.7871473961511897,0.3825593936467466,<0,<0%,INDA
TUR,TUR,-4.25,-6.858019087356504,0.3733677782412833,<0,<0%,TUR
TLT,TLT,-6.75,-1.258736185124587,0.3651954886055479,<0,<0%,TLT
ARKK,ARKK,-5.0,-2.817265937650948,0.3462133428512326,<0,<0%,ARKK
QMOM,QMOM,-5.75,-1.688900517870806,0.34086647209296733,<0,<0%,QMOM
GRID,GRID,-5.5,-1.180133028429886,0.3317334081633723,<0,<0%,GRID
TAN,TAN,-6.0,-1.426479105602796,0.29701060100717575,<0,<0%,TAN
EZA,EZA,-6.5,-10.282145865480686,0.29031995479510175,<0,<0%,EZA
PICK,PICK,-4.75,-7.810619209744041,0.2752445067530213,<0,<0%,PICK
KSA,KSA,-11.0,-5.865749531636066,0.26100111788117347,<0,<0%,KSA
453810,인디아,-11.0,-4.317921283912874,0.25583791842277265,<0,<0%,인디아(453810)
ICLN,ICLN,-7.25,-5.055116542257654,0.24963865072393263,<0,<0%,ICLN
VNM,VNM,-12.0,-8.059387108022676,0.23453435253965962,<0,<0%,VNM
GLD,GLD,-10.0,-14.237493917015664,0.22561672438378125,<0,<0%,GLD
455850,반소부,-3.75,-5.179355783308937,0.22062193527107057,<0,<0%,반소부(455850)
SRVR,SRVR,-9.25,-11.578555522473755,0.21983005214139242,<0,<0%,SRVR
BOTZ,BOTZ,-11.25,-6.322256695861162,0.2010397220371825,<0,<0%,BOTZ
COPX,COPX,-7.0,-9.660907902082183,0.1972412277862253,<0,<0%,COPX
UNG,UNG,-11.5,-4.018261078059593,0.1898860497716393,<0,<0%,UNG
478150,우주방,-12.0,-6.701708278580821,0.1826830078676194,<0,<0%,우주방(478150)
102970,증권주,-6.25,-26.652892561983464,0.18002593308741596,<0,<0%,증권주(102970)
411060,금현물,-12.0,-16.95447409733124,0.1533261841418426,<0,<0%,금현물(411060)
117460,에너지,-8.0,-22.650459531574263,0.14792032148242767,<0,<0%,에너지(117460)
091180,자동차,-9.75,-9.043690803544147,0.13800687357962746,<0,<0%,자동차(091180)
XME,XME,-9.5,-16.147842078436238,0.13342964102973975,<0,<0%,XME
PTF,PTF,-7.25,-7.1071148064125955,0.12626376893179908,<0,<0%,PTF
0048K0,중로봇,-12.0,-6.923076923076921,0.12318909493842135,<0,<0%,0048K0
0051G0,에셈알,-11.25,-19.138335287221576,0.12197436443493995,<0,<0%,0051G0
0023A0,양자컴,-9.5,-6.090549766439091,0.10414182009384067,<0,<0%,0023A0
LIT,LIT,-11.0,-17.29020518577976,0.10214831424934245,<0,<0%,LIT
475050,K팝,-12.0,-27.102330293819655,0.08337121136296403,<0,<0%,K팝(475050)
SLV,SLV,-11.0,-25.857788928098437,0.08003557436660544,<0,<0%,SLV
117680,철강주,-9.5,-33.955338023860506,0.07792803083892838,<0,<0%,철강주(117680)
305720,이차전,-9.0,-28.38125665601704,0.063969572872747,<0,<0%,이차전(305720)
244580,바이오,-11.5,-35.56782334384858,0.061038040921214474,<0,<0%,바이오(244580)
377990,신재생,-8.75,-23.703829210437142,0.058118216866243896,<0,<0%,신재생(377990)
URA,URA,-12.0,-27.93078092188609,0.04997973084577851,<0,<0%,URA
117700,건설주,-9.25,-36.09729132117192,0.04845657450881279,<0,<0%,건설주(117700)
449450,방산주,-10.25,-30.367802811476984,0.04616251251614311,<0,<0%,방산주(449450)
229200,코스닥,-10.25,-30.537084398976976,0.03342360431287391,<0,<0%,코스닥(229200)
139230,조선주,-10.75,-23.619271445358404,0.03068233325981383,<0,<0%,조선주(139230)
469070,ai로봇,-10.75,-35.742705570291776,0.017905284260393565,<0,<0%,ai로봇(469070)
434730,원자력,-10.75,-28.41854934601664,0.01785611586193472,<0,<0%,원자력(434730)
REMX,REMX,-11.5,-27.763420207566558,0.009431942914796345,<0,<0%,REMX
EWH,EWH,5.0,-3.795941937090963,0.6659740207117102,0~7,<0%,EWH
228790,화장품,5.25,-4.713375796178343,0.6402859153615478,0~7,<0%,화장품(228790)
XLC,XLC,3.75,-5.310810854924897,0.6052395008028483,0~7,<0%,XLC
ARKF,ARKF,4.5,-4.5763922436220845,0.5926807006889376,0~7,<0%,ARKF
EWZ,EWZ,3.5,-12.808568413632948,0.5885483933729644,0~7,<0%,EWZ
GMOM,GMOM,2.0,-1.7010638255811283,0.5756295255105891,0~7,<0%,GMOM
GUNR,GUNR,1.5,-5.693041099180984,0.5492338538883729,0~7,<0%,GUNR
FXI,FXI,1.0,-7.3396195228003,0.5398480572209619,0~7,<0%,FXI
ETHA,ETHA,3.25,-19.827091979384804,0.5259022739921717,0~7,<0%,ETHA
ITB,ITB,0.75,-2.6658544576101173,0.48337140346982366,0~7,<0%,ITB
IBIT,IBIT,0.75,-14.490708281895637,0.46555804887119456,0~7,<0%,IBIT
EIDO,EIDO,0.0,-21.45377280284094,0.4296583951014225,0~7,<0%,EIDO
PDBC,PDBC,10.25,-0.862066792062055,0.7627190287856205,8~10,<0%,PDBC
EWA,EWA,9.0,-1.1055398764344138,0.7334539771310218,8~10,<0%,EWA
EWM,EWM,8.25,-0.8463115533858812,0.7184293948456522,8~10,<0%,EWM
PAVE,PAVE,-0.75,2.097618855568051,0.49629486058425476,<0,0~15%,PAVE
QQQ,QQQ,-2.0,8.03379650518714,0.4444127512469363,<0,0~15%,QQQ
XLK,XLK,-2.25,13.646240404357624,0.43539103268540563,<0,0~15%,XLK
ITA,ITA,-2.75,3.4972283005604954,0.41261391119782276,<0,0~15%,ITA
241180,니케이,-2.75,12.241484184914842,0.39715968208606106,<0,0~15%,니케이(241180)
MTUM,MTUM,-2.75,11.353046917535469,0.39340161092571824,<0,0~15%,MTUM
325020,케모멘,-3.5,6.606498194945853,0.35363021501840164,<0,0~15%,케모멘(325020)
EMGF,EMGF,-5.0,2.989079106039383,0.3386182222563684,<0,0~15%,EMGF
PDP,PDP,-4.0,1.3053189756487837,0.33724975965922804,<0,0~15%,PDP
CARZ,CARZ,-4.5,8.399750106423065,0.3305368906923824,<0,0~15%,CARZ
0038A0,미로봇,-5.75,1.6026610220743809,0.3207840568519815,<0,0~15%,0038A0
487230,전력인,-5.5,1.5539505362223593,0.27611472396314557,<0,0~15%,전력인(487230)
EWY,EWY,-5.0,10.72961422465566,0.23535449581645643,<0,0~15%,EWY
147970,티모멘,-4.75,2.9448700238603465,0.20423783564223524,<0,0~15%,티모멘(147970)
XLV,XLV,6.0,10.882979696614537,0.7534362079050996,0~7,0~15%,XLV
VTV,VTV,4.5,7.89508337018201,0.687747755850229,0~7,0~15%,VTV
IBB,IBB,3.5,9.079067233189765,0.6871113525734649,0~7,0~15%,IBB
XLP,XLP,4.5,4.815622619511939,0.6683847232777478,0~7,0~15%,XLP
195930,유로스,5.0,7.798272239084758,0.6608347509134131,0~7,0~15%,유로스(195930)
EFA,EFA,5.75,3.281659471065135,0.6516476881670317,0~7,0~15%,EFA
XLU,XLU,4.75,1.1310994441013023,0.6503193915842244,0~7,0~15%,XLU
IJH,IJH,3.5,3.8511061552877868,0.6495244137113401,0~7,0~15%,IJH
IWM,IWM,2.5,7.369215998031597,0.628180318674217,0~7,0~15%,IWM
XBI,XBI,2.0,13.213158935322378,0.615315778274249,0~7,0~15%,XBI
FEZ,FEZ,3.5,4.530144080245724,0.6098123209746821,0~7,0~15%,FEZ
EWQ,EWQ,3.75,1.8906880147358196,0.6080649619391795,0~7,0~15%,EWQ
VUG,VUG,6.25,4.741786611449195,0.6031209972329911,0~7,0~15%,VUG
XLI,XLI,1.0,4.906326483324253,0.568643804036764,0~7,0~15%,XLI
ARKW,ARKW,5.5,3.6408800789467843,0.5564228673599133,0~7,0~15%,ARKW
449190,나스닥,2.0,11.570247933884303,0.5463616098535726,0~7,0~15%,나스닥(449190)
SCZ,SCZ,3.25,0.8204102386884404,0.5441158788241539,0~7,0~15%,SCZ
EZU,EZU,0.5,4.088975929283234,0.5439095393962324,0~7,0~15%,EZU
JETS,JETS,1.0,13.869155455972537,0.5398497893521972,0~7,0~15%,JETS
GREK,GREK,2.75,6.931214223174109,0.5299645439313025,0~7,0~15%,GREK
EWJ,EWJ,2.5,4.40860705365862,0.5009273103509306,0~7,0~15%,EWJ
VYM,VYM,10.0,4.4073677884161055,0.7942650159539727,8~10,0~15%,VYM
IJR,IJR,8.5,8.425679671123355,0.7892077338140925,8~10,0~15%,IJR
EWU,EWU,9.5,1.4324391205336795,0.7672237028417511,8~10,0~15%,EWU
EWI,EWI,9.5,7.110116065815286,0.7652370455620442,8~10,0~15%,EWI
EWL,EWL,8.5,5.700163646985579,0.7620418429593914,8~10,0~15%,EWL
HYG,HYG,9.5,0.5975793296292276,0.7613459125200708,8~10,0~15%,HYG
IGV,IGV,8.5,7.080530646944849,0.744151549971983,8~10,0~15%,IGV
EWP,EWP,8.0,5.876577675420869,0.7398164441552577,8~10,0~15%,EWP
VGK,VGK,8.5,3.3332695565272408,0.7384081861011793,8~10,0~15%,VGK
DIA,DIA,8.0,6.341401102427557,0.7353512420766014,8~10,0~15%,DIA
SPY,SPY,10.0,5.840932626050477,0.6967381720443804,8~10,0~15%,SPY
KBE,KBE,15.5,10.081384803108318,0.9332659243857641,11+,0~15%,KBE
KRE,KRE,15.0,10.783438193883521,0.9219211052807089,11+,0~15%,KRE
EWC,EWC,16.0,3.3025547138019196,0.9132885609588032,11+,0~15%,EWC
EWS,EWS,14.5,10.967061353112694,0.9119118768623647,11+,0~15%,EWS
XLF,XLF,15.0,7.948524227888298,0.9015194873044992,11+,0~15%,XLF
ENZL,ENZL,13.25,7.8371931032301,0.87893069659486,11+,0~15%,ENZL
