티커,산업,Signal_sco,수익률(%),Final_score,sco_bucket,rtn_bucket,표시이름
TUR,TUR,-2.75,-7.419961003312547,0.3584889755693125,<0,<0%,TUR
IBIT,IBIT,-0.75,-19.703013298092475,0.3543319449384278,<0,<0%,IBIT
478150,우주방,-2.75,-8.159311087190524,0.30022620809537676,<0,<0%,우주방(478150)
0051G0,에셈알,-2.0,-15.161582603443069,0.298309181234738,<0,<0%,0051G0
EWZ,EWZ,-6.0,-3.4121670648559532,0.2715378935532824,<0,<0%,EWZ
0048K0,중로봇,-0.5,-16.901408450704224,0.27119792686409394,<0,<0%,0048K0
ICLN,ICLN,-2.5,-17.14566940489903,0.26095598685104787,<0,<0%,ICLN
EWY,EWY,-0.5,-13.523834546615864,0.26057936806486104,<0,<0%,EWY
091180,자동차,-1.25,-26.562696516161488,0.24781653600954437,<0,<0%,자동차(091180)
TLT,TLT,-6.25,-2.098920270520832,0.24275931541291473,<0,<0%,TLT
453810,인디아,-5.0,-1.8511066398390397,0.23438208649019243,<0,<0%,인디아(453810)
TAN,TAN,-4.0,-18.72747297564136,0.2283372463734035,<0,<0%,TAN
475050,K팝,-2.0,-20.614035087719294,0.22710819407482835,<0,<0%,K팝(475050)
0038A0,미로봇,-2.25,-15.450874831763118,0.20269144757444071,<0,<0%,0038A0
371160,항셈테,-7.5,-10.185739964050333,0.1827029763985469,<0,<0%,항셈테(371160)
UNG,UNG,-9.5,-7.650266247119431,0.172272903433365,<0,<0%,UNG
446770,톱반도,-3.0,-11.285266457680255,0.17018268139433224,<0,<0%,톱반도(446770)
455850,반소부,-2.0,-31.793560036111945,0.14669123884833188,<0,<0%,반소부(455850)
495050,밸류업,-5.5,-18.826666666666668,0.11675426438496317,<0,<0%,밸류업(495050)
487230,전력인,-5.25,-26.007194244604314,0.11041732443688632,<0,<0%,전력인(487230)
XLU,XLU,-11.0,-2.830966459782769,0.10975491977327792,<0,<0%,XLU
069500,코스피,-7.25,-20.495775099114976,0.07813302099324197,<0,<0%,코스피(069500)
102970,증권주,-6.0,-34.5005149330587,0.07514661241178934,<0,<0%,증권주(102970)
091160,반도체,-6.75,-27.37913486005089,0.06739534501844102,<0,<0%,반도체(091160)
XME,XME,6.75,-4.637251222008687,0.6757015906076435,0~7,<0%,XME
FXI,FXI,5.0,-3.9101212942432406,0.6278911073786274,0~7,<0%,FXI
