티커,산업,Signal_sco,수익률(%),Final_score,sco_bucket,rtn_bucket,표시이름
058610,에스피지,-0.75,-3.092006033182504,0.3471993267617582,<0,<0%,에스피지(058610)
ACHR,ACHR,-4.0,-13.821137738610801,0.2750034967339428,<0,<0%,ACHR
CRM,CRM,-2.0,-9.725770179857419,0.2695005142615083,<0,<0%,CRM
ADBE,ADBE,-2.0,-5.512667374549418,0.2675965535570716,<0,<0%,ADBE
SCCO,SCCO,-2.5,-15.870795648576031,0.25057448812091554,<0,<0%,SCCO
469070,AI로봇ETF,-4.0,-7.803297997644288,0.2442391627012632,<0,<0%,AI로봇ETF(469070)
REMX,REMX,-3.75,-0.7585054143990688,0.2306096006322788,<0,<0%,REMX
053800,안랩,-5.5,-0.9230769230769265,0.1987100536181436,<0,<0%,안랩(053800)
328130,루닛,-6.0,-7.265774378585088,0.1984875213532349,<0,<0%,루닛(328130)
VST,VST,-5.5,-11.621989707350899,0.1690470173882338,<0,<0%,VST
AME,AME,-7.25,-5.249832076696281,0.14701355853098322,<0,<0%,AME
ISRG,ISRG,-5.5,-13.569286244620827,0.14687210270420606,<0,<0%,ISRG
IBB,IBB,-8.25,-2.927312775330393,0.14390541954186695,<0,<0%,IBB
0051G0,S&P500AI,-8.25,-1.089258698940998,0.1407822030276532,<0,<0%,0051G0
TT,TT,-7.25,-1.3387639319809352,0.13382227513334008,<0,<0%,TT
EMR,EMR,-7.75,-10.673129204734543,0.13184209855998358,<0,<0%,EMR
CEG,CEG,-7.25,-9.114226250738744,0.13060014876114184,<0,<0%,CEG
TTD,TTD,-7.5,-6.555330071647814,0.1263087264465695,<0,<0%,TTD
117730,티로보틱스,-9.0,-16.50655021834061,0.10815462933098696,<0,<0%,티로보틱스(117730)
NRG,NRG,-6.75,-24.09286606579539,0.09657924092490311,<0,<0%,NRG
TEM,TEM,-7.5,-16.65764224445745,0.09330325958182001,<0,<0%,TEM
RIVN,RIVN,-8.0,-8.904544652272683,0.07919615242594653,<0,<0%,RIVN
SMR,SMR,-10.25,-14.478622027172495,0.07210659884825098,<0,<0%,SMR
ICE,ICE,-11.0,-6.089998284803066,0.07187702552907893,<0,<0%,ICE
META,META,-9.5,-7.115568911450387,0.07164995904076303,<0,<0%,META
RXRX,RXRX,-8.5,-20.15915104266074,0.060000000000000005,<0,<0%,RXRX
HUBB,HUBB,-9.5,-9.382092837850065,0.047777291785032754,<0,<0%,HUBB
322510,JLK,-9.5,-34.64052287581699,0.04,<0,<0%,JLK(322510)
315640,딥노이드,-9.75,-17.119565217391308,0.034999999999999996,<0,<0%,딥노이드(315640)
HOOD,HOOD,-10.5,-7.312772538403845,0.034952518628061056,<0,<0%,HOOD
338220,뷰노,-11.5,-46.015037593984964,0.0,<0,<0%,뷰노(338220)
NOW,NOW,6.0,-6.559931928770912,0.490758516975761,0~7,<0%,NOW
PTC,PTC,4.75,-5.700112332021301,0.44198777809569595,0~7,<0%,PTC
PICK,PICK,2.5,-0.8732224895953822,0.37746399412007187,0~7,<0%,PICK
CME,CME,2.0,-7.969663532262228,0.3565621779460571,0~7,<0%,CME
FCX,FCX,1.0,-9.344831575920786,0.3321274667003237,0~7,<0%,FCX
COPX,COPX,0.25,-11.752248631838281,0.3128943976244248,0~7,<0%,COPX
MDB,MDB,9.75,-3.1133896571144515,0.642268181723122,8~10,<0%,MDB
SNOW,SNOW,8.25,-0.4969378380237144,0.5871226293603867,8~10,<0%,SNOW
084370,유진테크,-0.75,10.429936305732479,0.32540226588008264,<0,0~15%,유진테크(084370)
240810,원익IPS,-0.5,4.463519313304731,0.3199318620632346,<0,0~15%,원익IPS(240810)
XBI,XBI,-0.25,3.1252491191267273,0.30736897832050697,<0,0~15%,XBI
SRVR,SRVR,-0.25,3.184131959874281,0.3023975883016449,<0,0~15%,SRVR
NFLX,NFLX,-1.75,4.740515793632039,0.26514462377590303,<0,0~15%,NFLX
PLTR,PLTR,-2.0,0.6914833194970882,0.2549369750305175,<0,0~15%,PLTR
TER,TER,-0.25,7.736696510355889,0.25065965173832133,<0,0~15%,TER
ETN,ETN,-4.5,4.4742278035922345,0.19310744089242027,<0,0~15%,ETN
058470,리노공업,-4.0,9.567901234567898,0.1909148031788085,<0,0~15%,리노공업(058470)
007660,이수페타시스,-4.0,12.689901697944595,0.1809508109241595,<0,0~15%,이수페타시스(007660)
COIN,COIN,-6.0,2.1705556100532375,0.16199738058205315,<0,0~15%,COIN
136540,윈스,-7.5,1.6450216450216493,0.14753817271114625,<0,0~15%,윈스(136540)
JOBY,JOBY,4.0,6.744873557509257,0.5371598942802095,0~7,0~15%,JOBY
TSLA,TSLA,6.0,4.266000236474277,0.5020685373090119,0~7,0~15%,TSLA
454910,두산로보틱스,5.0,0.8514664143803197,0.4857165942772676,0~7,0~15%,두산로보틱스(454910)
277810,레인보우로보틱스,2.0,3.429355281207136,0.4843112621691048,0~7,0~15%,레인보우로보틱스(277810)
ROK,ROK,4.5,9.965966926453152,0.4759248729934859,0~7,0~15%,ROK
BOTZ,BOTZ,4.5,2.000002317790739,0.44416712341061704,0~7,0~15%,BOTZ
TSM,TSM,5.5,7.35383658464881,0.4350859987843308,0~7,0~15%,TSM
IBKR,IBKR,3.5,9.106761182752665,0.423834368124195,0~7,0~15%,IBKR
PATH,PATH,2.75,2.054157481281127,0.39763045022803656,0~7,0~15%,PATH
GRID,GRID,3.0,7.84917590658738,0.39662542885033836,0~7,0~15%,GRID
EQIX,EQIX,3.5,13.899497565083486,0.3872449430999968,0~7,0~15%,EQIX
267260,HD현대일렉트릭,1.25,9.62616822429907,0.38623157911666883,0~7,0~15%,HD현대일렉트릭(267260)
MSFT,MSFT,3.5,4.1944653122357956,0.3825174820775661,0~7,0~15%,MSFT
ADSK,ADSK,0.75,3.2298173670970654,0.34034830660693477,0~7,0~15%,ADSK
CARR,CARR,0.0,0.6054829163130382,0.3323430800263234,0~7,0~15%,CARR
DLR,DLR,0.0,8.879063387003105,0.30536804537277495,0~7,0~15%,DLR
ZS,ZS,9.75,8.968686933613412,0.6835871269983141,8~10,0~15%,ZS
090360,로보스타,8.5,11.05331599479844,0.6465566490849575,8~10,0~15%,로보스타(090360)
SMCI,SMCI,10.25,10.22305816775404,0.6368301721513949,8~10,0~15%,SMCI
HXGBY,HXGBY,10.75,0.7142850452539706,0.5426472483133157,8~10,0~15%,HXGBY
ROBO,ROBO,8.5,10.450407439972341,0.5393465753019073,8~10,0~15%,ROBO
AAPL,AAPL,15.5,13.141598649198926,0.7049690291544148,11+,0~15%,AAPL
0048K0,중국로봇,13.25,8.073716542343124,0.6766486099353041,11+,0~15%,0048K0
478150,우주방위,13.5,5.305039787798416,0.6199983615147285,11+,0~15%,우주방위(478150)
ASML,ASML,11.5,11.552122553986388,0.6141966387445427,11+,0~15%,ASML
SPY,SPY,11.0,8.173513398115784,0.5646098393655535,11+,0~15%,SPY
GEV,GEV,-0.25,18.515387375738346,0.2839538297000479,<0,15~30%,GEV
042510,라온시큐어,-2.0,22.080679405520165,0.2375637834373378,<0,15~30%,라온시큐어(042510)
095340,ISC,-3.75,15.068493150684926,0.19742494333717056,<0,15~30%,ISC(095340)
NET,NET,7.0,23.766170638092742,0.50105034889584,0~7,15~30%,NET
