date,Worst,Neutral,Recovery,HotVeryHot,total_universe,avg_sco,avg_3m,Other,Worst_pct,Neutral_pct,Recovery_pct,HotVeryHot_pct,Other_pct,cell_<0__<0%,cell_<0__0~15%,cell_<0__15~30%,cell_<0__30%+,cell_0~7__<0%,cell_0~7__0~15%,cell_0~7__15~30%,cell_0~7__30%+,cell_8~10__<0%,cell_8~10__0~15%,cell_8~10__15~30%,cell_8~10__30%+,cell_11+__<0%,cell_11+__0~15%,cell_11+__15~30%,cell_11+__30%+,QQQ_close,SPY_close,sco_strong,sco_mid,sco_weak,sco_neg,regime_raw_avg,regime_map_score,strong_zone_cnt,risk_zone_cnt,worst_zone_cnt,regime_state
2024-04-08,25,48,5,1,127,2.23,7.05,48,19.69,37.8,3.94,0.79,37.8,,,,,,,,,,,,,,,,,435.81,,7.0,17.0,57.0,46.0,0.0,0.0,0.0,0.0,0.0,
2024-04-09,24,43,5,1,127,2.09,6.65,54,18.9,33.86,3.94,0.79,42.52,,,,,,,,,,,,,,,,,437.43,,8.0,16.0,51.0,52.0,0.0,0.0,0.0,0.0,0.0,
2024-04-10,24,43,5,1,127,1.78,6.01,54,18.9,33.86,3.94,0.79,42.52,,,,,,,,,,,,,,,,,433.61,,8.0,13.0,51.0,55.0,0.0,0.0,0.0,0.0,0.0,
2024-04-11,23,45,5,1,127,1.67,6.16,53,18.11,35.43,3.94,0.79,41.73,,,,,,,,,,,,,,,,,440.53,,8.0,12.0,57.0,50.0,0.0,0.0,0.0,0.0,0.0,
2024-04-12,28,43,6,1,127,0.82,4.92,49,22.05,33.86,4.72,0.79,38.58,,,,,,,,,,,,,,,,,433.51,,5.0,7.0,53.0,62.0,0.0,0.0,0.0,0.0,0.0,
2024-04-15,31,21,8,2,127,-0.45,3.9,65,24.41,16.54,6.3,1.57,51.18,,,,,,,,,,,,,,,,,426.38,,4.0,8.0,34.0,81.0,0.0,0.0,0.0,0.0,0.0,
2024-04-16,34,16,8,1,127,-1.12,4.05,68,26.77,12.6,6.3,0.79,53.54,,,,,,,,,,,,,,,,,426.42,,3.0,7.0,25.0,92.0,0.0,0.0,0.0,0.0,0.0,
2024-04-17,31,11,7,0,127,-2.04,4.59,78,24.41,8.66,5.51,0.0,61.42,,,,,,,,,,,,,,,,,421.21,,2.0,6.0,19.0,100.0,0.0,0.0,0.0,0.0,0.0,
2024-04-18,32,7,8,0,127,-2.42,4.59,80,25.2,5.51,6.3,0.0,62.99,,,,,,,,,,,,,,,,,418.81,,0.0,5.0,17.0,105.0,0.0,0.0,0.0,0.0,0.0,
2024-04-19,35,8,8,0,127,-2.64,4.02,76,27.56,6.3,6.3,0.0,59.84,,,,,,,,,,,,,,,,,410.15,,0.0,4.0,18.0,105.0,0.0,0.0,0.0,0.0,0.0,
2024-04-22,33,7,11,0,127,-2.41,4.65,76,25.98,5.51,8.66,0.0,59.84,,,,,,,,,,,,,,,,,414.27,,0.0,3.0,19.0,105.0,0.0,0.0,0.0,0.0,0.0,
2024-04-23,29,15,8,0,127,-1.87,5.18,75,22.83,11.81,6.3,0.0,59.06,,,,,,,,,,,,,,,,,420.45,,0.0,3.0,25.0,99.0,0.0,0.0,0.0,0.0,0.0,
2024-04-24,27,25,9,1,127,-1.12,5.27,65,21.26,19.69,7.09,0.79,51.18,,,,,,,,,,,,,,,,,421.88,,0.0,6.0,36.0,85.0,0.0,0.0,0.0,0.0,0.0,
2024-04-25,29,31,7,2,127,-0.42,4.51,58,22.83,24.41,5.51,1.57,45.67,,,,,,,,,,,,,,,,,419.84,,0.0,8.0,41.0,78.0,0.0,0.0,0.0,0.0,0.0,
2024-04-26,23,34,9,2,127,0.35,5.3,59,18.11,26.77,7.09,1.57,46.46,,,,,,,,,,,,,,,,,426.32,,2.0,9.0,47.0,69.0,0.0,0.0,0.0,0.0,0.0,
2024-04-29,21,47,10,2,127,1.2,5.57,47,16.54,37.01,7.87,1.57,37.01,,,,,,,,,,,,,,,,,428.05,,7.0,6.0,61.0,53.0,0.0,0.0,0.0,0.0,0.0,
