date,MT,H,W,N,C,total
2026-03-13,33.53,8,11,54,56,129
2026-03-16,31.59,7,11,51,60,129
2026-03-17,30.43,7,9,51,62,129
2026-03-18,34.69,9,13,52,55,129
2026-03-19,38.95,14,13,53,49,129
2026-03-20,42.44,18,13,54,44,129
2026-03-23,38.76,9,16,58,46,129
2026-03-24,29.84,8,6,52,63,129
2026-03-25,31.01,8,6,55,60,129
2026-03-26,24.81,6,4,46,73,129
2026-03-27,27.52,6,6,50,67,129
2026-03-30,25.58,5,2,53,69,129
2026-03-31,19.96,4,1,42,82,129
2026-04-01,22.48,5,4,42,78,129
2026-04-02,22.09,5,10,32,82,129
2026-04-03,22.48,5,8,36,80,129
2026-04-06,31.98,7,13,49,60,129
2026-04-07,27.33,8,11,38,72,129
2026-04-08,38.57,16,9,54,50,129
2026-04-09,47.29,22,18,51,38,129
2026-04-10,50.0,24,24,45,36,129
2026-04-13,63.57,51,18,35,25,129
2026-04-14,64.53,53,19,32,25,129
2026-04-15,67.25,56,17,36,20,129
2026-04-16,69.96,56,19,40,14,129
2026-04-17,74.22,62,19,39,9,129
2026-04-20,75.97,61,24,38,6,129
2026-04-21,79.07,67,22,37,3,129
2026-04-22,76.74,63,26,33,7,129
2026-04-23,74.22,58,29,32,10,129
2026-04-24,71.12,60,21,32,16,129
2026-04-27,71.32,62,16,36,15,129
2026-04-28,71.71,61,16,39,13,129
2026-04-29,69.38,61,14,36,18,129
2026-04-30,66.47,59,13,34,23,129
2026-05-04,64.53,57,17,27,28,129
2026-05-06,64.53,56,19,26,28,129
2026-05-07,62.79,53,18,29,29,129
2026-05-08,61.43,50,21,27,31,129
2026-05-11,58.72,48,23,21,37,129
2026-05-12,54.65,44,16,29,40,129
2026-05-13,49.61,37,18,27,47,129
2026-05-14,47.48,37,13,29,50,129
2026-05-15,44.38,32,13,31,53,129
2026-05-18,42.44,31,11,31,56,129
2026-05-19,34.11,15,18,31,65,129
2026-05-20,25.97,7,14,32,76,129
2026-05-22,27.13,9,16,28,76,129
2026-05-26,30.81,17,11,29,72,129
2026-05-27,38.37,24,12,33,60,129
2026-05-28,37.79,25,7,37,60,129
2026-05-29,34.11,24,8,28,69,129
2026-06-01,32.56,26,6,23,74,129
2026-06-02,30.43,26,7,16,80,129
2026-06-04,31.01,27,4,20,78,129
2026-06-05,31.01,25,6,21,77,129
2026-06-08,25.19,13,14,18,84,129
2026-06-09,21.71,6,16,20,87,129
2026-06-10,16.86,2,7,29,91,129
2026-06-11,15.12,1,4,31,93,129
2026-06-12,18.22,2,6,34,87,129
2026-06-15,25.78,2,9,49,69,129
2026-06-16,34.11,8,10,57,54,129
2026-06-17,45.93,17,19,56,37,129
2026-06-18,45.35,22,16,49,42,129
2026-06-19,38.95,18,11,48,52,129
2026-06-22,30.04,13,5,44,67,129
2026-06-23,19.77,10,4,25,90,129
2026-06-24,12.6,7,3,14,105,129
2026-06-25,10.08,5,6,7,111,129
2026-06-26,7.75,5,4,4,116,129
2026-06-29,6.98,1,8,4,116,129
2026-06-30,8.72,1,5,13,110,129
2026-07-01,9.5,1,3,18,107,129
2026-07-02,13.76,1,3,29,96,129
2026-07-03,15.12,1,4,31,93,129
2026-07-06,20.16,3,6,37,83,129
2026-07-07,23.26,7,4,40,78,129
2026-07-08,21.12,7,7,30,85,129
2026-07-09,17.64,7,5,24,93,129
2026-07-10,16.86,7,3,25,94,129
2026-07-13,13.57,7,2,18,102,129
2026-07-14,11.24,5,2,16,106,129
2026-07-15,12.21,5,5,14,105,129
2026-07-16,11.05,5,5,11,108,129
2026-07-20,9.5,3,5,11,110,129
2026-07-21,10.47,5,4,11,109,129
2026-07-22,10.47,3,8,9,109,129
2026-07-23,11.24,4,6,12,107,129
2026-07-24,17.44,6,4,27,92,129
2026-07-27,21.51,5,7,35,82,129
2026-07-28,17.05,4,4,30,91,129
2026-07-29,13.76,4,5,20,100,129
2026-07-30,12.79,5,4,17,103,129
2026-07-31,10.08,3,4,14,108,129
2026-08-03,9.88,3,3,15,108,129
2026-08-04,12.02,4,2,20,103,129
2026-08-05,15.7,4,3,28,94,129
2026-08-06,21.9,5,5,39,80,129
2026-08-07,35.27,7,10,62,50,129
2026-08-10,39.34,10,9,68,42,129
2026-08-11,40.31,11,12,64,42,129
2026-08-12,41.28,8,11,74,36,129
2026-08-13,42.05,9,7,80,33,129
2026-08-14,45.74,7,14,83,25,129
2026-08-18,43.22,7,17,72,33,129
2026-08-19,37.02,4,13,68,44,129
2026-08-20,29.46,5,6,57,61,129
2026-08-21,23.84,3,5,48,73,129
2026-08-24,20.54,2,8,37,82,129
2026-08-25,21.71,2,12,34,81,129
2026-08-26,24.42,4,16,31,78,129
2026-08-27,32.95,12,10,46,61,129
2026-08-28,36.43,13,10,53,53,129
2026-08-31,41.47,13,14,60,42,129
2026-09-01,41.28,17,9,59,44,129
2026-09-02,39.53,18,8,54,49,129
