date,MT,H,W,N,C,total
2026-03-13,23.06,8,11,54,56,129
2026-03-16,21.71,7,11,51,60,129
2026-03-17,20.54,7,9,51,62,129
2026-03-18,24.61,9,13,52,55,129
2026-03-19,28.68,14,13,53,49,129
2026-03-20,31.98,18,13,54,44,129
2026-03-23,27.52,9,16,58,46,129
2026-03-24,19.77,8,6,52,63,129
2026-03-25,20.35,8,6,55,60,129
2026-03-26,15.89,6,4,46,73,129
2026-03-27,17.83,6,6,50,67,129
2026-03-30,15.31,5,2,53,69,129
2026-03-31,11.82,4,1,42,82,129
2026-04-01,14.34,5,4,42,78,129
2026-04-02,15.89,5,10,32,82,129
2026-04-03,15.5,5,8,36,80,129
2026-04-06,22.48,7,13,49,60,129
2026-04-07,19.96,8,11,38,72,129
2026-04-08,28.1,16,9,54,50,129
2026-04-09,37.4,22,18,51,38,129
2026-04-10,41.28,24,24,45,36,129
2026-04-13,56.78,51,18,35,25,129
2026-04-14,58.33,53,19,32,25,129
2026-04-15,60.27,56,17,36,20,129
2026-04-16,62.21,56,19,40,14,129
2026-04-17,66.67,62,19,39,9,129
2026-04-20,68.6,61,24,38,6,129
2026-04-21,71.9,67,22,37,3,129
2026-04-22,70.35,63,26,33,7,129
2026-04-23,68.02,58,29,32,10,129
2026-04-24,64.92,60,21,32,16,129
2026-04-27,64.34,62,16,36,15,129
2026-04-28,64.15,61,16,39,13,129
2026-04-29,62.4,61,14,36,18,129
2026-04-30,59.88,59,13,34,23,129
2026-05-04,59.3,57,17,27,28,129
2026-05-06,59.5,56,19,26,28,129
2026-05-07,57.17,53,18,29,29,129
2026-05-08,56.2,50,21,27,31,129
2026-05-11,54.65,48,23,21,37,129
2026-05-12,49.03,44,16,29,40,129
2026-05-13,44.38,37,18,27,47,129
2026-05-14,41.86,37,13,29,50,129
2026-05-15,38.37,32,13,31,53,129
2026-05-18,36.43,31,11,31,56,129
2026-05-19,28.1,15,18,31,65,129
2026-05-20,19.77,7,14,32,76,129
2026-05-22,21.71,9,16,28,76,129
2026-05-26,25.19,17,11,29,72,129
2026-05-27,31.98,24,12,33,60,129
2026-05-28,30.62,25,7,37,60,129
2026-05-29,28.68,24,8,28,69,129
2026-06-01,28.1,26,6,23,74,129
2026-06-02,27.33,26,7,16,80,129
2026-06-04,27.13,27,4,20,78,129
2026-06-05,26.94,25,6,21,77,129
2026-06-08,21.71,13,14,18,84,129
2026-06-09,17.83,6,16,20,87,129
2026-06-10,11.24,2,7,29,91,129
2026-06-11,9.11,1,4,31,93,129
2026-06-12,11.63,2,6,34,87,129
2026-06-15,16.28,2,9,49,69,129
2026-06-16,23.06,8,10,57,54,129
2026-06-17,35.08,17,19,56,37,129
2026-06-18,35.85,22,16,49,42,129
2026-06-19,29.65,18,11,48,52,129
2026-06-22,21.51,13,5,44,67,129
2026-06-23,14.92,10,4,25,90,129
2026-06-24,9.88,7,3,14,105,129
2026-06-25,8.72,5,6,7,111,129
2026-06-26,6.98,5,4,4,116,129
2026-06-29,6.2,1,8,4,116,129
2026-06-30,6.2,1,5,13,110,129
2026-07-01,6.01,1,3,18,107,129
2026-07-02,8.14,1,3,29,96,129
2026-07-03,9.11,1,4,31,93,129
2026-07-06,12.98,3,6,37,83,129
2026-07-07,15.5,7,4,40,78,129
2026-07-08,15.31,7,7,30,85,129
2026-07-09,12.98,7,5,24,93,129
2026-07-10,12.02,7,3,25,94,129
2026-07-13,10.08,7,2,18,102,129
2026-07-14,8.14,5,2,16,106,129
2026-07-15,9.5,5,5,14,105,129
2026-07-16,8.91,5,5,11,108,129
2026-07-20,7.36,3,5,11,110,129
2026-07-21,8.33,5,4,11,109,129
2026-07-22,8.72,3,8,9,109,129
2026-07-23,8.91,4,6,12,107,129
2026-07-24,12.21,6,4,27,92,129
2026-07-27,14.73,5,7,35,82,129
2026-07-28,11.24,4,4,30,91,129
2026-07-29,9.88,4,5,20,100,129
2026-07-30,9.5,5,4,17,103,129
2026-07-31,7.36,3,4,14,108,129
2026-08-03,6.98,3,3,15,108,129
2026-08-04,8.14,4,2,20,103,129
2026-08-05,10.27,4,3,28,94,129
2026-08-06,14.34,5,5,39,80,129
2026-08-07,23.26,7,10,62,50,129
2026-08-10,26.16,10,9,68,42,129
2026-08-11,27.91,11,12,64,42,129
2026-08-12,26.94,8,11,74,36,129
2026-08-13,26.55,9,7,80,33,129
2026-08-14,29.65,7,14,83,25,129
2026-08-18,29.26,7,17,72,33,129
2026-08-19,23.84,4,13,68,44,129
2026-08-20,18.41,5,6,57,61,129
2026-08-21,14.53,3,5,48,73,129
