Ticker,Close,RS_rating,RS_rating_old,RS_rating_new,RS_score,TT_pass,RS_pass,Minervini_pass,Minervini_score,early_stage_score,R3M,R6M,R9M,R12M,RS_raw,Bench_R12,C1_Price>MA150&200,C2_MA150>MA200,C3_MA200_up_22d,C4_MA50>MA150&200,C5_+25%_from_low,C6_within_25%_high,Days_passed
CRNX,84.86,97.8,93.5,97.8,127.382020076745,True,True,True,86.02,56.328985224264045,130.66050557216636,95.57501728508872,97.9934671021932,182.02060485211032,162.8072563689127,19.213348483197645,1,1,1,1,1,1,29
CDNA,50.8,99.1,97.6,99.1,185.5594784170973,True,True,True,79.32,32.259704804307916,129.24187725631765,175.18959913326108,195.69266589057042,298.43137254901956,279.2180240658219,19.213348483197645,1,1,1,1,1,1,19
RVMD,211.38,99.4,99.4,98.7,174.3846396500325,True,True,True,78.89,30.432315462954946,38.15686274509804,104.74622239442076,198.26442782559616,492.5988225399495,473.38547405675183,19.213348483197645,1,1,1,1,1,1,47
CGON,78.95,94.9,94.9,94.7,78.96931495541426,True,True,True,78.84,36.283242765567636,29.85197368421053,38.533075978241804,86.0273327049953,210.58221872541307,191.36887024221542,19.213348483197645,1,1,1,1,1,1,47
IBKR,98.19,83.7,71.5,83.7,38.64049705175867,True,True,True,78.11,48.77111106290474,21.2970969734404,33.31975560081466,60.835380835380846,56.453154875717026,37.239806392519384,19.213348483197645,1,1,1,1,1,1,94
NUVL,123.96,76.5,66.2,76.5,29.352131584402414,True,True,True,77.79,57.295610652021395,18.33890214797136,22.52644064445981,38.116991643454035,49.43942133815551,30.226072854957863,19.213348483197645,1,1,1,1,1,1,25
ADPT,26.25,94.5,86.7,94.5,77.90157072849725,True,True,True,77.37,31.91081172966574,89.66763005780348,61.93707587908697,41.053197205803336,107.18232044198896,87.96897195879131,19.213348483197645,1,1,1,1,1,1,21
TXG,64.72,99.5,98.5,99.5,229.89616812095417,True,True,True,77.05,24.16343240201825,153.70442963543707,229.1963377416073,252.88985823336967,359.98578535891966,340.772436875722,19.213348483197645,1,1,1,1,1,1,13
INSW,99.05,90.6,89.0,90.6,58.80461370535342,True,True,True,76.71,34.90413807592378,23.165879134543644,42.47698504027619,81.77647274729307,123.43785247011053,104.22450398691288,19.213348483197645,1,1,1,1,1,1,91
FRO,43.46,87.9,87.4,87.9,48.90681615472327,True,True,True,76.16,36.6712094524543,22.56063169768754,19.199122325836537,67.79922779922781,112.41446725317692,93.20111876997927,19.213348483197645,1,1,1,1,1,1,108
TECK,71.62,87.9,87.9,86.4,46.14916260297853,True,True,True,76.16,36.65698342474065,9.779276517473967,16.587986325899394,79.58876629889669,115.01050735514862,95.79715887195097,19.213348483197645,1,1,1,1,1,1,26
NTRA,336.71,92.9,86.8,92.9,68.7494858490889,True,True,True,76.02,29.520903790942434,65.77716508295994,58.95293395647452,45.995750769631,107.24441435341907,88.03106587022143,19.213348483197645,1,1,1,1,1,1,20
ECO,65.04,90.9,90.9,90.8,58.83591471143262,True,True,True,75.97,32.044582008757914,27.056065637819906,23.57970739122175,73.34754797441366,143.14018691588788,123.92683843269023,19.213348483197645,1,1,1,1,1,1,54
CRL,297.64,94.9,81.4,94.9,79.68790295438714,True,True,True,75.62,25.524328600682452,80.94717004073193,77.63189305323466,77.54712479121928,81.36615684601789,62.152808362820245,19.213348483197645,1,1,1,1,1,1,24
APA,41.35,86.7,82.6,86.7,46.38799554046295,True,True,True,75.31,35.44462889153985,12.916439104314591,48.52729885057472,72.65135699373697,84.92844364937389,65.71509516617624,19.213348483197645,1,1,1,1,1,1,33
ABNB,190.5,88.3,65.3,88.3,49.6186236614489,True,True,True,75.15,32.7539096521301,44.20893262679788,44.296318739584905,66.72501312795379,48.653921186110026,29.440572702912384,19.213348483197645,1,1,1,1,1,1,22
CIB,103.26,91.4,87.1,91.4,61.79623934133578,True,True,True,75.06,28.342044652109095,45.88866911556937,38.846308995562715,70.3398218409766,108.01772763900081,88.80437915580318,19.213348483197645,1,1,1,1,1,1,52
VLO,340.41,94.4,90.3,94.4,76.28843562967245,True,True,True,75.0,24.13816987405488,41.63684779895149,70.51192145862555,96.25828769097726,131.39827340085648,112.18492491765883,19.213348483197645,1,1,1,1,1,1,39
BBVA,28.95,81.2,70.5,81.2,33.55000852783867,True,True,True,74.72,40.804857565111085,24.409110442629988,21.792175010517468,41.91176470588236,55.227882037533526,36.014533554335884,19.213348483197645,1,1,1,1,1,1,37
