ticker,status,RS_rating,Minervini_score,R3M,close_now,chg_pct,pivot,pivot_dist_pct,volume_ratio,pivot_box_pct,vcp_score,setup_score,setup_grade,contractions,peak_week
STNG,PRE_BREAKOUT,78.4,63.36,-1.29,80.33,1.16,80.75,-0.52,1.31,6.12,0.9,73.0,B,18.4% → 8.9%,2026-05-08
SU,PRE_BREAKOUT,76.9,60.43,-3.77,66.66,1.28,67.48,-1.22,0.51,5.37,0.6,70.9,B,12.0% → 19.1% → 11.2%,2026-05-08
CASY,PRE_BREAKOUT,75.6,60.65,1.73,870.01,2.78,884.8265,-1.67,1.11,4.04,1.2,53.9,D,15.3% → 8.3%,2026-06-12
PWR,BREAKOUT_WEAK,80.5,61.63,-0.08,722.31,5.33,708.06,2.01,1.06,7.31,0.6,64.8,C,14.2% → 18.0% → 7.0%,2026-05-08
FDX,BREAKOUT_WEAK,79.6,68.58,11.69,331.49,-0.94,322.13,2.91,0.61,4.3,1.2,58.1,D,6.7% → 5.9%,2026-06-19
BHP,BREAKOUT_WEAK,72.9,59.69,5.18,88.37,1.83,86.33,2.36,1.26,2.74,1.05,50.9,D,9.2% → 7.5%,2026-06-19
FIX,EXTENDED,92.5,66.3,1.5,1881.1801,6.04,1823.6157,3.16,0.72,8.32,0.45,65.8,C,13.6% → 24.9% → 20.7% → 8.3%,2026-05-15
CVE,EXTENDED,86.0,72.56,2.34,32.13,3.61,30.77,4.42,0.64,7.61,1.35,55.4,D,19.0% → 10.0%,2026-05-22
TECK,EXTENDED,82.9,62.64,7.78,64.84,2.06,61.72,5.06,0.57,3.04,1.05,54.2,D,18.2% → 13.1%,2026-06-05
IMO,EXTENDED,70.2,67.83,-2.01,134.88,1.2,129.96,3.79,0.83,4.81,1.35,51.9,D,14.0% → 5.8%,2026-05-22
